partition,repeat,split_seed,method,lambda_subset,response_scope,trajectory_fraction,shuffle_seed,mean_absolute_error_difference,ci_low_95,ci_high_95,probability_lower_error,fraction_molecules_improved
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1,total,1.0,,0.006948562638389456,0.0019108462971153925,0.01220722702259106,0.00291,0.4166666666666667
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1,total,1.0,,0.005437818427231292,0.0006080770074410596,0.01064695923425484,0.01293,0.375
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p5,total,1.0,,0.010123308722339614,0.002280782570974188,0.01795651678219647,0.00596,0.4305555555555556
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p5,total,1.0,,0.007631999450770301,0.0033081496866145623,0.011883312302359568,0.0003,0.3333333333333333
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p5,total,1.0,,0.007416522177211794,0.003009968745396416,0.011777053607118775,0.00046,0.3333333333333333
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p9,total,1.0,,0.010285838224619957,0.003434260079971297,0.017282248753771542,0.00134,0.4305555555555556
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p9,total,1.0,,0.01224668613261252,0.0060618169070065855,0.01921377094519638,0.0,0.3472222222222222
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p9,total,1.0,,0.0073915246808264985,-0.00012746240026878232,0.015058364852835378,0.02703,0.4027777777777778
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p5,total,1.0,,0.011629898586247292,0.003638035197776642,0.0204682249053194,0.00152,0.4305555555555556
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p5,total,1.0,,0.007679924257142961,0.002716432056514891,0.012842876918415801,0.00096,0.375
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p5,total,1.0,,0.007139557940044527,0.0017685947395313362,0.012801930003661454,0.00403,0.3472222222222222
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p9,total,1.0,,0.012375336759367516,0.003539447455379355,0.022164692899795373,0.00214,0.4444444444444444
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p9,total,1.0,,0.00858896507535885,0.003648491825286313,0.013742101059313694,0.00028,0.3888888888888889
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p9,total,1.0,,0.005754380656061241,-0.0006587540022619979,0.012289022867010195,0.0395,0.4305555555555556
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p5_0p9,total,1.0,,0.009999982332127007,0.0024081619586250225,0.017897860384646698,0.00458,0.4444444444444444
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p5_0p9,total,1.0,,0.007916008943054886,0.0035300870281663862,0.012257495959677869,0.00021,0.3333333333333333
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p5_0p9,total,1.0,,0.009638649993940276,0.00280561222321054,0.016694861175085098,0.00264,0.3472222222222222
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p5_0p9,total,1.0,,0.012437811825186867,0.003036584654106476,0.022666073191571576,0.00386,0.4722222222222222
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p5_0p9,total,1.0,,0.008825433991492397,0.003471400784608954,0.014617778230656341,0.00042,0.3472222222222222
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,1.0,,0.006955586198607037,0.0008947630063598051,0.013191075596777678,0.01167,0.3888888888888889
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1,components,1.0,,0.010009780920712719,0.00039920960492965734,0.02053282490155927,0.02068,0.4444444444444444
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1,components,1.0,,0.005915882435482408,-0.011916396322151548,0.0253586368743202,0.27482,0.5555555555555556
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1,components,1.0,,0.012406332380304034,-0.002774729021556796,0.030567214169511896,0.06065,0.4583333333333333
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p5,components,1.0,,0.010281313641219052,0.003760040597295047,0.017258977630619877,0.00073,0.4166666666666667
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p5,components,1.0,,0.004093616058305076,-0.00627899762490451,0.014845542252855238,0.22477,0.5277777777777778
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p5,components,1.0,,0.007640120508979008,-0.0011150175644288848,0.016374343902160953,0.04263,0.3611111111111111
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p9,components,1.0,,0.010581182713274231,0.0029687829875749364,0.01875501699096492,0.00294,0.4305555555555556
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p9,components,1.0,,0.01274212298531513,0.0062274977897906906,0.019856734735772506,0.0,0.4027777777777778
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p9,components,1.0,,0.007425368573316059,0.0018480072094976458,0.013237596831999283,0.00414,0.4027777777777778
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p5,components,1.0,,0.010457751224542927,0.0012868818422916658,0.020568193644795958,0.01221,0.4583333333333333
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p5,components,1.0,,0.0010366657041585678,-0.015383071127094663,0.01810489643055242,0.45738,0.4861111111111111
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p5,components,1.0,,0.007571497987250613,-0.004790272190135566,0.020097403529967195,0.11534,0.4027777777777778
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p9,components,1.0,,0.009491350036626644,0.0007725596328592077,0.018859789095656294,0.01649,0.4444444444444444
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p9,components,1.0,,0.013764480047852018,-0.0020108447088630996,0.03102931733479196,0.04519,0.4583333333333333
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p9,components,1.0,,0.005677180881832529,-0.0037327431673009376,0.01549295814042721,0.12224,0.4305555555555556
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p5_0p9,components,1.0,,0.010746552339858531,0.0027058508888737893,0.0192648638298952,0.00388,0.4166666666666667
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p5_0p9,components,1.0,,0.011166418187600783,-0.0017419102725548235,0.02584242413749509,0.04748,0.4722222222222222
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p5_0p9,components,1.0,,0.0069661485205289204,0.00019327642702976383,0.013922879525592772,0.02193,0.4027777777777778
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p5_0p9,components,1.0,,0.010667717473148434,0.0004986277417287535,0.021729526126653294,0.01979,0.4583333333333333
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p5_0p9,components,1.0,,0.007101445363170965,-0.007429457429942961,0.022508469608930125,0.17884,0.5
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p5_0p9,components,1.0,,0.0064079031398516706,-0.005076890841319675,0.01827935387370408,0.1418,0.4583333333333333
standardized_exclusion_repeat,0,314159.0,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88001.0,0.0075153795747803,-7.218201775199915e-05,0.015552923095544157,0.02609,0.4305555555555556
standardized_exclusion_repeat,0,314159.0,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88002.0,0.007108196954238653,-0.006386465404835423,0.0210658476225165,0.1511,0.3611111111111111
standardized_exclusion_repeat,0,314159.0,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88003.0,0.008434776295726651,0.0012825982406332486,0.016204717914563953,0.00987,0.3611111111111111
standardized_exclusion_repeat,0,314159.0,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88004.0,0.007381846623558397,0.0029520525387437793,0.011746898559865602,0.00057,0.3333333333333333
standardized_exclusion_repeat,0,314159.0,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88005.0,0.006879520940999715,0.002403920750854696,0.011298705560893931,0.00119,0.3472222222222222
standardized_exclusion_repeat,0,314159.0,P1-F_generic_posterior,0p1,total,1.0,,0.007920101761441721,-0.0006738440580272391,0.01639728455992116,0.03586,0.375
standardized_exclusion_repeat,0,314159.0,P1-F_solvai_conditioned_posterior,0p1,total,1.0,,0.0086102984162185,0.0013959573589205098,0.016152340868867885,0.00958,0.4444444444444444
standardized_exclusion_repeat,0,314159.0,P1-F_generic_posterior,0p5,total,1.0,,0.016081251892340002,0.005509189576047527,0.02723303221727208,0.00101,0.3888888888888889
standardized_exclusion_repeat,0,314159.0,P1-F_solvai_conditioned_posterior,0p5,total,1.0,,0.01256890997443345,0.004710805550334172,0.021157173130185263,0.00044,0.4305555555555556
standardized_exclusion_repeat,0,314159.0,P1-F_generic_posterior,0p9,total,1.0,,0.007944019786741583,0.0007180913949892169,0.015114838044776365,0.01544,0.4027777777777778
standardized_exclusion_repeat,0,314159.0,P1-F_solvai_conditioned_posterior,0p9,total,1.0,,0.00918442445866888,0.004361389502416989,0.01420957730746968,7e-05,0.3888888888888889
standardized_exclusion_repeat,0,314159.0,P1-F_generic_posterior,0p1_0p5,total,1.0,,0.008397616256141771,0.003086923900969838,0.014004952855644674,0.0008,0.3888888888888889
standardized_exclusion_repeat,0,314159.0,P1-F_solvai_conditioned_posterior,0p1_0p5,total,1.0,,0.012263958894030192,0.00321464972223261,0.02193857050665956,0.00347,0.4583333333333333
standardized_exclusion_repeat,0,314159.0,P1-F_generic_posterior,0p1_0p9,total,1.0,,0.010526565548727544,0.0018462249571031255,0.019012928557089102,0.00867,0.375
standardized_exclusion_repeat,0,314159.0,P1-F_solvai_conditioned_posterior,0p1_0p9,total,1.0,,0.009406533192095667,0.004223129299422764,0.014863002985608983,0.00014,0.4166666666666667
standardized_exclusion_repeat,0,314159.0,P1-F_generic_posterior,0p5_0p9,total,1.0,,0.00883471107338175,0.0039563965256038565,0.013915156691321142,0.00016,0.3333333333333333
standardized_exclusion_repeat,0,314159.0,P1-F_solvai_conditioned_posterior,0p5_0p9,total,1.0,,0.007945976544904587,0.0035320650047599763,0.012341746779039783,0.00024,0.3611111111111111
standardized_exclusion_repeat,0,314159.0,P1-F_generic_posterior,0p1_0p5_0p9,total,1.0,,0.008500262631153123,0.0035865082987221472,0.013636741267432532,0.0003,0.3611111111111111
standardized_exclusion_repeat,0,314159.0,P1-F_solvai_conditioned_posterior,0p1_0p5_0p9,total,1.0,,0.009089673573856741,0.00393588337510284,0.014600265937620772,0.00022,0.3472222222222222
standardized_exclusion_repeat,1,271828.0,P1-B_predicted_response,0p1_0p5_0p9,total,0.1,,-0.00040882621805540424,-0.003133935183460379,0.0023381376187351704,0.61961,0.5416666666666666
standardized_exclusion_repeat,1,271828.0,P1-C_actual_response,0p1_0p5_0p9,total,0.1,,0.0018209132296508905,-0.0024832281305221552,0.006494160834963206,0.21878,0.5416666666666666
standardized_exclusion_repeat,1,271828.0,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.1,,-0.0005161333679712241,-0.00305169046807456,0.0020044328812703492,0.65605,0.4861111111111111
standardized_exclusion_repeat,1,271828.0,P1-B_predicted_response,0p1_0p5_0p9,total,0.2,,-0.00035267542782668596,-0.0029638059561242695,0.0022814188651501957,0.60857,0.5555555555555556
