partition,repeat,method,lambda_subset,mae,rmse,median_absolute_error,fraction_with_absolute_error_below_0p2,n,mae_vs_pimd8
standardized_exclusion_repeat,0,P1-F_generic_posterior_integral_affine,0p5,2.6445949558265403,3.204118670441364,2.331015490337225,0.041666666666666664,72,2.62118245582654
standardized_exclusion_repeat,0,P1-F_solvai_conditioned_posterior_integral_affine,0p5,1.75356893793733,2.1429511097196885,1.5148837477203054,0.06944444444444445,72,1.7873895378544178
standardized_exclusion_repeat,0,P1-F_generic_posterior_integral_affine,0p9,2.616444819827841,3.1978970755398257,2.205016319944928,0.027777777777777776,72,2.6007409457879147
standardized_exclusion_repeat,0,P1-F_solvai_conditioned_posterior_integral_affine,0p9,1.4580871287671935,1.8877519408194945,1.261399161639367,0.125,72,1.4824783661694856
standardized_exclusion_repeat,0,P1-F_generic_posterior_integral_affine,0p1_0p5,1.6829392826036287,2.0873820252467614,1.544227535341114,0.08333333333333333,72,1.6811789940437327
standardized_exclusion_repeat,0,P1-F_solvai_conditioned_posterior_integral_affine,0p1_0p5,1.373147479525116,1.6742967964267597,1.201888194355274,0.06944444444444445,72,1.384755680334092
standardized_exclusion_repeat,0,P1-F_generic_posterior_integral_affine,0p1_0p9,0.9815509355788988,1.276060305871945,0.8227988735856103,0.16666666666666666,72,1.0144951658376022
standardized_exclusion_repeat,0,P1-F_solvai_conditioned_posterior_integral_affine,0p1_0p9,1.1791601077949476,1.491624010322965,1.0529965781515447,0.08333333333333333,72,1.1603136017945397
standardized_exclusion_repeat,0,P1-F_generic_posterior_integral_affine,0p5_0p9,2.623955036184468,3.182156013875588,2.3982172598964713,0.05555555555555555,72,2.6080294781353732
standardized_exclusion_repeat,0,P1-F_solvai_conditioned_posterior_integral_affine,0p5_0p9,1.7178103066713462,2.169601707872062,1.3616369728500015,0.08333333333333333,72,1.777615380034362
standardized_exclusion_repeat,0,P1-F_generic_posterior_integral_affine,0p1_0p5_0p9,1.3738082702645524,1.724900522753277,1.188703349552287,0.06944444444444445,72,1.392880365166717
