partition,repeat,trajectory_fraction,lambda,component,n,mae
standardized_exclusion_repeat,0,0.2,0.1,van_der_waals,72,6.131849402255846
standardized_exclusion_repeat,0,0.2,0.1,van_der_waals_softcore,72,2.13958256132681
standardized_exclusion_repeat,0,0.2,0.5,coulomb,72,4.77292241442999
standardized_exclusion_repeat,0,0.2,0.5,coulomb_softcore,72,2.6726769646458908
standardized_exclusion_repeat,0,0.2,0.5,long_range_correction,72,0.05905884183787705
standardized_exclusion_repeat,0,0.2,0.5,pme,72,0.18878336147915323
standardized_exclusion_repeat,0,0.2,0.5,total,72,2.697881686156235
standardized_exclusion_repeat,0,0.2,0.5,van_der_waals,72,4.536190256463241
standardized_exclusion_repeat,0,0.2,0.5,van_der_waals_softcore,72,1.018611772979863
standardized_exclusion_repeat,0,0.2,0.9,coulomb,72,6.169034516267935
standardized_exclusion_repeat,0,0.2,0.9,coulomb_softcore,72,1.1744051223369132
standardized_exclusion_repeat,0,0.2,0.9,long_range_correction,72,0.011775508002447782
standardized_exclusion_repeat,0,0.2,0.9,pme,72,0.04142840719666669
standardized_exclusion_repeat,0,0.2,0.9,total,72,5.627949836166753
standardized_exclusion_repeat,0,0.2,0.9,van_der_waals,72,1.749910391566635
standardized_exclusion_repeat,0,0.2,0.9,van_der_waals_softcore,72,0.15070520860856915
standardized_exclusion_repeat,0,0.4,0.1,coulomb,72,5.491218343414006
standardized_exclusion_repeat,0,0.4,0.1,coulomb_softcore,72,3.871213840817854
standardized_exclusion_repeat,0,0.4,0.1,long_range_correction,72,0.10368959945753543
standardized_exclusion_repeat,0,0.4,0.1,pme,72,0.4794283554474018
standardized_exclusion_repeat,0,0.4,0.1,total,72,4.547442996343198
standardized_exclusion_repeat,0,0.4,0.1,van_der_waals,72,6.066248485447567
standardized_exclusion_repeat,0,0.4,0.1,van_der_waals_softcore,72,2.040857386862249
standardized_exclusion_repeat,0,0.4,0.5,coulomb,72,5.10521494527693
standardized_exclusion_repeat,0,0.4,0.5,coulomb_softcore,72,2.850163566992945
standardized_exclusion_repeat,0,0.4,0.5,long_range_correction,72,0.05691407281875305
standardized_exclusion_repeat,0,0.4,0.5,pme,72,0.18730188618879118
standardized_exclusion_repeat,0,0.4,0.5,total,72,3.017472258986602
standardized_exclusion_repeat,0,0.4,0.5,van_der_waals,72,4.605868514650802
standardized_exclusion_repeat,0,0.4,0.5,van_der_waals_softcore,72,1.0287485807545944
standardized_exclusion_repeat,0,0.4,0.9,coulomb,72,5.238282089309297
standardized_exclusion_repeat,0,0.4,0.9,coulomb_softcore,72,1.0263583455291316
standardized_exclusion_repeat,0,0.4,0.9,long_range_correction,72,0.011347614088069091
standardized_exclusion_repeat,0,0.4,0.9,pme,72,0.03046945768694494
standardized_exclusion_repeat,0,0.4,0.9,total,72,4.813559485352231
standardized_exclusion_repeat,0,0.4,0.9,van_der_waals,72,1.4525556081176443
standardized_exclusion_repeat,0,0.4,0.9,van_der_waals_softcore,72,0.12420416194255056
standardized_exclusion_repeat,0,0.7,0.1,coulomb,72,4.93845808020801
standardized_exclusion_repeat,0,0.7,0.1,coulomb_softcore,72,3.4873436919641145
standardized_exclusion_repeat,0,0.7,0.1,long_range_correction,72,0.1019905484403744
standardized_exclusion_repeat,0,0.7,0.1,pme,72,0.5071214653141426
standardized_exclusion_repeat,0,0.7,0.1,total,72,4.303694936658137
standardized_exclusion_repeat,0,0.7,0.1,van_der_waals,72,5.612459922495354
standardized_exclusion_repeat,0,0.7,0.1,van_der_waals_softcore,72,1.882118244520066
standardized_exclusion_repeat,0,0.7,0.5,coulomb,72,4.885623758325773
standardized_exclusion_repeat,0,0.7,0.5,coulomb_softcore,72,2.6983197818399374
standardized_exclusion_repeat,0,0.7,0.5,long_range_correction,72,0.056150680643417994
standardized_exclusion_repeat,0,0.7,0.5,pme,72,0.1832561710311897
standardized_exclusion_repeat,0,0.7,0.5,total,72,2.7528763057030905
standardized_exclusion_repeat,0,0.7,0.5,van_der_waals,72,4.504122689703664
standardized_exclusion_repeat,0,0.7,0.5,van_der_waals_softcore,72,0.9845460006906802
standardized_exclusion_repeat,0,0.7,0.9,coulomb,72,4.689058835217675
standardized_exclusion_repeat,0,0.7,0.9,coulomb_softcore,72,0.8896277840663552
standardized_exclusion_repeat,0,0.7,0.9,long_range_correction,72,0.011194219934535347
standardized_exclusion_repeat,0,0.7,0.9,pme,72,0.025154646275769098
standardized_exclusion_repeat,0,0.7,0.9,total,72,4.225065571998506
standardized_exclusion_repeat,0,0.7,0.9,van_der_waals,72,1.4205390281052446
standardized_exclusion_repeat,0,0.7,0.9,van_der_waals_softcore,72,0.11252460929048826
standardized_exclusion_repeat,0,1.0,0.1,coulomb,72,4.850506723798602
standardized_exclusion_repeat,0,1.0,0.1,coulomb_softcore,72,3.155175269405061
standardized_exclusion_repeat,0,1.0,0.1,long_range_correction,72,0.10008618245697312
standardized_exclusion_repeat,0,1.0,0.1,pme,72,0.5337286157447768
standardized_exclusion_repeat,0,1.0,0.1,total,72,4.468486845823102
standardized_exclusion_repeat,0,1.0,0.1,van_der_waals,72,5.129482660720523
standardized_exclusion_repeat,0,1.0,0.1,van_der_waals_softcore,72,1.763034271798428
standardized_exclusion_repeat,0,1.0,0.5,coulomb,72,4.554133000809266
standardized_exclusion_repeat,0,1.0,0.5,coulomb_softcore,72,2.527023259495299
standardized_exclusion_repeat,0,1.0,0.5,long_range_correction,72,0.05483705663910973
standardized_exclusion_repeat,0,1.0,0.5,pme,72,0.1744811222326721
standardized_exclusion_repeat,0,1.0,0.5,total,72,2.4104931540852546
standardized_exclusion_repeat,0,1.0,0.5,van_der_waals,72,4.189773754193091
standardized_exclusion_repeat,0,1.0,0.5,van_der_waals_softcore,72,0.9356364479413976
standardized_exclusion_repeat,0,1.0,0.9,coulomb,72,4.185100066803783
standardized_exclusion_repeat,0,1.0,0.9,coulomb_softcore,72,0.7835939448558271
standardized_exclusion_repeat,0,1.0,0.9,long_range_correction,72,0.010993411209674508
standardized_exclusion_repeat,0,1.0,0.9,pme,72,0.022388509697454848
standardized_exclusion_repeat,0,1.0,0.9,total,72,3.633373086297229
standardized_exclusion_repeat,0,1.0,0.9,van_der_waals,72,1.379362676402262
standardized_exclusion_repeat,0,1.0,0.9,van_der_waals_softcore,72,0.10704252214956694
standardized_exclusion_repeat,1,0.1,0.1,coulomb,72,6.229672389626186
standardized_exclusion_repeat,1,0.1,0.1,coulomb_softcore,72,4.387923908213967
standardized_exclusion_repeat,1,0.1,0.1,long_range_correction,72,0.11199399444032326
standardized_exclusion_repeat,1,0.1,0.1,pme,72,0.7045728236056672
standardized_exclusion_repeat,1,0.1,0.1,total,72,6.04913702452876
standardized_exclusion_repeat,1,0.1,0.1,van_der_waals,72,6.046228370964398
standardized_exclusion_repeat,1,0.1,0.1,van_der_waals_softcore,72,2.186724091220068
standardized_exclusion_repeat,1,0.1,0.5,coulomb,72,4.644595816628792
standardized_exclusion_repeat,1,0.1,0.5,coulomb_softcore,72,2.5691568949346166
standardized_exclusion_repeat,1,0.1,0.5,long_range_correction,72,0.06269617377119602
standardized_exclusion_repeat,1,0.1,0.5,pme,72,0.2552722438515947
standardized_exclusion_repeat,1,0.1,0.5,total,72,3.143187652785248
standardized_exclusion_repeat,1,0.1,0.5,van_der_waals,72,4.121726055910873
standardized_exclusion_repeat,1,0.1,0.5,van_der_waals_softcore,72,0.9375873603289117
standardized_exclusion_repeat,1,0.1,0.9,coulomb,72,7.8211918426958285
standardized_exclusion_repeat,1,0.1,0.9,coulomb_softcore,72,1.539234052390921
standardized_exclusion_repeat,1,0.1,0.9,long_range_correction,72,0.012455513877349864
standardized_exclusion_repeat,1,0.1,0.9,pme,72,0.04824582322677475
standardized_exclusion_repeat,1,0.1,0.9,total,72,7.218153325248835
standardized_exclusion_repeat,1,0.1,0.9,van_der_waals,72,2.1818245285816165
standardized_exclusion_repeat,1,0.1,0.9,van_der_waals_softcore,72,0.18830924127581553
standardized_exclusion_repeat,1,0.2,0.1,coulomb,72,6.102049568756715
standardized_exclusion_repeat,1,0.2,0.1,coulomb_softcore,72,4.1241719183190115
standardized_exclusion_repeat,1,0.2,0.1,long_range_correction,72,0.11621405442371786
standardized_exclusion_repeat,1,0.2,0.1,pme,72,0.6071255444900473
standardized_exclusion_repeat,1,0.2,0.1,total,72,5.543947397544902
