partition,repeat,split_seed,method,lambda_subset,response_scope,trajectory_fraction,shuffle_seed,mae,rmse,median_absolute_error,fraction_with_absolute_error_below_0p2,n
standardized_exclusion_primary,-1,,P1-F_generic_posterior,0p1_0p5_0p9,total,1.0,,0.18217505031289807,0.29067762342396647,0.11577794386509921,0.75,72
standardized_exclusion_primary,-1,,P1-F_solvai_conditioned_posterior,0p1_0p5_0p9,total,1.0,,0.18329833999424494,0.2917051275198158,0.10988433284516907,0.75,72
standardized_exclusion_repeat,0,314159.0,P1-0_structure_only,none,none,0.0,,0.30988303165723624,0.5822764695307983,0.19168962632275177,0.5277777777777778,72
standardized_exclusion_repeat,0,314159.0,P1-A_frozen_solvai,none,none,0.0,,0.1846176065825253,0.29373321603861335,0.10858204916225667,0.7361111111111112,72
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p5_0p9,total,0.1,,0.19561175707813952,0.3036167730081574,0.11304455442264683,0.7083333333333334,72
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p5_0p9,total,0.1,,0.20434255467442014,0.30963989189098334,0.12534674556868275,0.6666666666666666,72
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.1,,0.2205524805331972,0.32582293146169305,0.1367848428444307,0.625,72
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p5_0p9,total,0.2,,0.19326895666176425,0.3027209316750249,0.11317724393380679,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p5_0p9,total,0.2,,0.19655606945637955,0.29986147463991103,0.12939457763918294,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.2,,0.19700997903699685,0.3033202314761237,0.1171637846845257,0.7083333333333334,72
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p5_0p9,total,0.4,,0.19641168784951535,0.30337103246419445,0.11110232498901518,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p5_0p9,total,0.4,,0.20535333595282237,0.30658871215830885,0.11600389676269629,0.6666666666666666,72
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.4,,0.1987717910685182,0.302588473840659,0.11758769674564973,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p5_0p9,total,0.7,,0.19653694606904837,0.3031625265961317,0.11395535618494701,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p5_0p9,total,0.7,,0.19278972802958694,0.30274833255910416,0.114558211577525,0.7083333333333334,72
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.7,,0.19192635214775974,0.30262837003436427,0.11104445809857766,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1,total,1.0,,0.19145164530962056,0.3017500369476189,0.11269119666957539,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1,total,1.0,,0.1915661692209148,0.30426069083616214,0.10758955520554225,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1,total,1.0,,0.1900554250097566,0.30282491429911734,0.10618062298665887,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p5,total,1.0,,0.19474091530486495,0.29676039084078326,0.11681819572290497,0.7083333333333334,72
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p5,total,1.0,,0.19224960603329563,0.3007574337437898,0.11696357944526603,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p5,total,1.0,,0.19203412875973713,0.3008694698395774,0.11718005525770314,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p9,total,1.0,,0.19490344480714528,0.2987524400083561,0.11889289325947988,0.7083333333333334,72
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p9,total,1.0,,0.19686429271513783,0.30276057209233204,0.1171822925558067,0.7083333333333334,72
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p9,total,1.0,,0.1920091312633518,0.30302984043901027,0.10286398641491767,0.7083333333333334,72
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p5,total,1.0,,0.1962475051687726,0.30244510342123426,0.11510045733426022,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p5,total,1.0,,0.19229753083966827,0.3041974920110544,0.11156440586725758,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-D_actual_minus_predicted,0p1_0p5,total,1.0,,0.19175716452256986,0.3045263694284989,0.11148894677537458,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-B_predicted_response,0p1_0p9,total,1.0,,0.19699294334189282,0.30582772608124026,0.11708915573531653,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-C_actual_response,0p1_0p9,total,1.0,,0.19320657165788416,0.3021483930778858,0.11251772640693614,0.7222222222222222,72
