partition,repeat,posterior,lambda_subset,n,mae,rmse,coverage_50,coverage_80,coverage_90,coverage_95,mean_width_95
standardized_exclusion_primary,-1,P1-F_solvai_conditioned_posterior,0p9,144,3.609720842769809,5.0746858739868115,0.5694444444444444,0.8819444444444444,0.9513888888888888,0.9652777777777778,20.09048032763465
standardized_exclusion_repeat,0,P1-F_generic_posterior,0p1,144,4.222382893358366,5.543086760250704,0.4861111111111111,0.8263888888888888,0.9305555555555556,0.9722222222222222,21.539390815115777
standardized_exclusion_repeat,0,P1-F_generic_posterior,0p1_0p5,72,5.281837107934857,6.625936351737822,0.5277777777777778,0.7916666666666666,0.9166666666666666,0.9583333333333334,26.73835219068786
standardized_exclusion_repeat,0,P1-F_generic_posterior,0p1_0p9,72,2.5672425751154107,3.077856113256757,0.4444444444444444,0.8888888888888888,0.9583333333333334,1.0,14.382193140920602
standardized_exclusion_repeat,0,P1-F_generic_posterior,0p5,144,8.051542820578852,10.211604759864736,0.4861111111111111,0.7777777777777778,0.9097222222222222,0.9652777777777778,38.25641145807727
standardized_exclusion_repeat,0,P1-F_generic_posterior,0p5_0p9,72,10.496683881657974,12.505675484232277,0.4444444444444444,0.75,0.9305555555555556,0.9583333333333334,47.38995000032529
standardized_exclusion_repeat,0,P1-F_generic_posterior,0p9,144,6.667252042245513,9.327333810363287,0.5,0.7847222222222222,0.9444444444444444,0.9791666666666666,31.710239193639943
standardized_exclusion_repeat,0,P1-F_solvai_conditioned_posterior,0p1,144,2.996805340209096,3.8322246467307606,0.5347222222222222,0.8541666666666666,0.9236111111111112,0.9513888888888888,15.943193767128333
standardized_exclusion_repeat,0,P1-F_solvai_conditioned_posterior,0p1_0p5,72,3.5834639998373823,4.566694673149311,0.5277777777777778,0.8472222222222222,0.875,0.9166666666666666,18.01937019152467
standardized_exclusion_repeat,0,P1-F_solvai_conditioned_posterior,0p1_0p9,72,2.379452677176799,2.9107473130640047,0.5555555555555556,0.8611111111111112,0.9722222222222222,0.9861111111111112,13.77091929756953
standardized_exclusion_repeat,0,P1-F_solvai_conditioned_posterior,0p5,144,4.033933985744719,5.201823269928512,0.5347222222222222,0.8472222222222222,0.8819444444444444,0.9305555555555556,20.743767365245965
standardized_exclusion_repeat,0,P1-F_solvai_conditioned_posterior,0p5_0p9,72,4.469929628922387,5.773274894264128,0.5277777777777778,0.8333333333333334,0.8888888888888888,0.9444444444444444,23.455432765446364
standardized_exclusion_repeat,0,P1-F_solvai_conditioned_posterior,0p9,144,3.452685112727461,4.592809184595021,0.5555555555555556,0.8472222222222222,0.9305555555555556,0.9652777777777778,18.65874175687729
standardized_exclusion_repeat,1,P1-F_generic_posterior,0p1,144,4.177096659662708,5.514754945449698,0.5,0.8194444444444444,0.9513888888888888,0.9722222222222222,21.685061878205985
standardized_exclusion_repeat,1,P1-F_generic_posterior,0p1_0p5,72,5.33711949270908,6.669907697002139,0.4722222222222222,0.8194444444444444,0.9166666666666666,0.9722222222222222,26.865442067097213
standardized_exclusion_repeat,1,P1-F_generic_posterior,0p1_0p9,72,2.567610031835229,3.0506618456326096,0.4722222222222222,0.8888888888888888,0.9722222222222222,1.0,14.455275317542831
standardized_exclusion_repeat,1,P1-F_generic_posterior,0p5,144,8.039940799238266,10.193767129559216,0.4652777777777778,0.7777777777777778,0.8958333333333334,0.9583333333333334,38.28783266986345
standardized_exclusion_repeat,1,P1-F_generic_posterior,0p5_0p9,72,10.355958690265886,12.50900316087472,0.4583333333333333,0.75,0.9166666666666666,0.9583333333333334,47.40063561178883
standardized_exclusion_repeat,1,P1-F_generic_posterior,0p9,144,6.644638917810749,9.35976830312596,0.4791666666666667,0.7847222222222222,0.9583333333333334,0.9791666666666666,31.711411037472562
standardized_exclusion_repeat,1,P1-F_solvai_conditioned_posterior,0p1,144,2.9510695367559374,3.711519130834011,0.4930555555555556,0.8819444444444444,0.9583333333333334,0.9722222222222222,15.55247397722474
standardized_exclusion_repeat,1,P1-F_solvai_conditioned_posterior,0p1_0p5,72,3.4961932062670162,4.488661242091235,0.5,0.8472222222222222,0.9305555555555556,0.9305555555555556,17.741804724934074
standardized_exclusion_repeat,1,P1-F_solvai_conditioned_posterior,0p1_0p9,72,2.4382926524088213,2.838817201768486,0.5138888888888888,0.875,0.9861111111111112,1.0,13.237951713885462
standardized_exclusion_repeat,1,P1-F_solvai_conditioned_posterior,0p5,144,4.019840486977856,5.229652151158451,0.5347222222222222,0.8611111111111112,0.9097222222222222,0.9444444444444444,21.238694807457083
standardized_exclusion_repeat,1,P1-F_solvai_conditioned_posterior,0p5_0p9,72,4.695111073594437,6.063843007014012,0.5694444444444444,0.8333333333333334,0.9166666666666666,0.9583333333333334,24.63266022815334
standardized_exclusion_repeat,1,P1-F_solvai_conditioned_posterior,0p9,144,3.5119864109302323,4.689356084468316,0.5416666666666666,0.8680555555555556,0.9513888888888888,0.9722222222222222,18.954042131839163
standardized_exclusion_repeat,2,P1-F_generic_posterior,0p1,144,4.179419367673471,5.526979194428376,0.5,0.8333333333333334,0.9236111111111112,0.9652777777777778,21.625847874127583
standardized_exclusion_repeat,2,P1-F_generic_posterior,0p1_0p5,72,5.251415177032939,6.574820259259464,0.5,0.8194444444444444,0.9027777777777778,0.9444444444444444,26.81158205287713
standardized_exclusion_repeat,2,P1-F_generic_posterior,0p1_0p9,72,2.542296390764048,3.077403726181542,0.5416666666666666,0.8888888888888888,0.9861111111111112,1.0,14.452918283847096
standardized_exclusion_repeat,2,P1-F_generic_posterior,0p5,144,8.054574634511262,10.17923480161593,0.5,0.7847222222222222,0.9097222222222222,0.9513888888888888,38.32766971563733
standardized_exclusion_repeat,2,P1-F_generic_posterior,0p5_0p9,72,10.495325262386816,12.487383250688609,0.4166666666666667,0.7361111111111112,0.9166666666666666,0.9583333333333334,47.45708251874597
standardized_exclusion_repeat,2,P1-F_generic_posterior,0p9,144,6.705118584269473,9.404748489790157,0.4722222222222222,0.7916666666666666,0.9444444444444444,0.9791666666666666,31.699564383832094
standardized_exclusion_repeat,2,P1-F_solvai_conditioned_posterior,0p1,144,3.0216464884950813,3.8885310831272615,0.5277777777777778,0.8611111111111112,0.9375,0.9583333333333334,16.276877439502492
standardized_exclusion_repeat,2,P1-F_solvai_conditioned_posterior,0p1_0p5,72,3.5706162910659995,4.605024049501972,0.5416666666666666,0.8472222222222222,0.8888888888888888,0.9305555555555556,18.289662324523082
standardized_exclusion_repeat,2,P1-F_solvai_conditioned_posterior,0p1_0p9,72,2.4033405648951898,2.934338091228354,0.5416666666666666,0.8611111111111112,0.9722222222222222,0.9861111111111112,14.144045234113534
standardized_exclusion_repeat,2,P1-F_solvai_conditioned_posterior,0p5,144,4.054252127198168,5.320019477977492,0.5555555555555556,0.8472222222222222,0.9097222222222222,0.9375,21.532224184521436
standardized_exclusion_repeat,2,P1-F_solvai_conditioned_posterior,0p5_0p9,72,4.54139014588041,5.985122351576293,0.6111111111111112,0.8611111111111112,0.9305555555555556,0.9444444444444444,24.707709216634285
standardized_exclusion_repeat,2,P1-F_solvai_conditioned_posterior,0p9,144,3.463947719829906,4.706432696400112,0.5763888888888888,0.8611111111111112,0.9583333333333334,0.9652777777777778,19.433206759461537
standardized_exclusion_repeat,3,P1-F_generic_posterior,0p1,144,4.323613253929064,5.691530374028732,0.4722222222222222,0.8125,0.9375,0.9652777777777778,21.59926838883461
standardized_exclusion_repeat,3,P1-F_generic_posterior,0p1_0p5,72,5.4196155720318275,6.7122182032916795,0.4722222222222222,0.8194444444444444,0.9027777777777778,0.9305555555555556,26.83074453551335
standardized_exclusion_repeat,3,P1-F_generic_posterior,0p1_0p9,72,2.5762665293577407,3.082313621010761,0.5,0.875,0.9583333333333334,1.0,14.435492736971526
standardized_exclusion_repeat,3,P1-F_generic_posterior,0p5,144,8.190136630978662,10.320337960100725,0.4791666666666667,0.7777777777777778,0.9097222222222222,0.9583333333333334,38.269577488918884
standardized_exclusion_repeat,3,P1-F_generic_posterior,0p5_0p9,72,10.764106927102322,12.775085979120702,0.4166666666666667,0.7361111111111112,0.9027777777777778,0.9583333333333334,47.14779192887727
standardized_exclusion_repeat,3,P1-F_generic_posterior,0p9,144,6.826830786110667,9.556919385491634,0.4791666666666667,0.7916666666666666,0.9444444444444444,0.9791666666666666,31.57461903122093
standardized_exclusion_repeat,3,P1-F_solvai_conditioned_posterior,0p1,144,3.0166904301740667,3.7910274749897206,0.5069444444444444,0.8958333333333334,0.9375,0.9513888888888888,15.94569436131154
standardized_exclusion_repeat,3,P1-F_solvai_conditioned_posterior,0p1_0p5,72,3.6961697673962,4.596627755396662,0.4861111111111111,0.8611111111111112,0.9027777777777778,0.9166666666666666,18.11686812251835
standardized_exclusion_repeat,3,P1-F_solvai_conditioned_posterior,0p1_0p9,72,2.3885158605186123,2.884270224537487,0.5277777777777778,0.9027777777777778,0.9722222222222222,0.9861111111111112,13.688176257251094
standardized_exclusion_repeat,3,P1-F_solvai_conditioned_posterior,0p5,144,4.087060116113152,5.452018238535291,0.5277777777777778,0.8680555555555556,0.9166666666666666,0.9236111111111112,21.92264718030121
standardized_exclusion_repeat,3,P1-F_solvai_conditioned_posterior,0p5_0p9,72,4.556205271022682,6.252565253274951,0.5555555555555556,0.875,0.9305555555555556,0.9305555555555556,25.66829432869752
standardized_exclusion_repeat,3,P1-F_solvai_conditioned_posterior,0p9,144,3.4816660589074293,4.8659239761020165,0.5555555555555556,0.8819444444444444,0.9513888888888888,0.9583333333333334,19.70880849269908
standardized_exclusion_repeat,4,P1-F_generic_posterior,0p1,144,4.185501980904446,5.5704236345635785,0.4861111111111111,0.8333333333333334,0.9583333333333334,0.9652777777777778,21.619023084548818
standardized_exclusion_repeat,4,P1-F_generic_posterior,0p1_0p5,72,5.281970636008808,6.658906895977642,0.5277777777777778,0.7916666666666666,0.9027777777777778,0.9583333333333334,26.779733911631684
