source_class,path,energy_sha256,config,config_sha256,beads,ti_point,lambda,time_step_ps,random_seed_fields,frames,observed_time_ps,has_dhdl,finite_dhdl,stream_id,independence_status,development_exposed,eligible_v3_development,eligible_v3_prospective_sentinel
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p80/output/Task5_MD_Transition_LIGAnnihilation_10__SYSTEM.ene,c5fd711c2f55f33016874098de9cdeedfe7b93c63fcaec000cf14ad3ca65f251,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p80/conf.xml,594b314bcc016d9f24e7f78de7e9e11c2958e1bd5ef5be6211f49fcba5a9c114,2.0,10.0,0.8,0.002,14725246,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p85/output/Task5_MD_Transition_LIGAnnihilation_11__SYSTEM.ene,cb382351a9a748fe5a9fa8fd7d185a578cdd8b05753801aa240074d38cd33bed,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p85/conf.xml,e9b707eb23c56ed131eb1b480b22030ef7b0ceffe1959b2638451b31ee4d572f,2.0,11.0,0.85,0.002,14725246,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p95/output/Task5_MD_Transition_LIGAnnihilation_13__SYSTEM.ene,e987ed218f6d40ff02222a63ac5c40ddbe29309242d12cafef3adcd8fa2124e8,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p95/conf.xml,e28a0e45f6feb5605953703f0667a0133b90c2934c1d7975e2a106b146b38d21,2.0,13.0,0.95,0.002,14725246,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_1p00/output/Task5_MD_Transition_LIGAnnihilation_14__SYSTEM.ene,a5e6337dc56ae816de0c9ce21c3f6690f58bd505a1040804473dc544a38492a2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_1p00/conf.xml,ff429b6ff50780b4bdfe96ff88a93e6d38f5cd711e2ec0b3b0d42d8767d880b0,2.0,14.0,1.0,0.002,14725246,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/propane/lambda_0p00/output/Task5_MD_Transition_LIGAnnihilation_0__SYSTEM.ene,9fd4b97f7c977315908631df18d3f6d11561293e0e6d6122d4768d0027c8bf7c,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/propane/lambda_0p00/conf.xml,a943e4da7e8c74a34be6a1d346ce36a331997a75af3d57f2d60327a2487261d7,2.0,0.0,0.0,0.002,11433427,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/propane/lambda_0p05/output/Task5_MD_Transition_LIGAnnihilation_1__SYSTEM.ene,37d07482e77d8b7a8b93449d359b7d68c2ba15b154cc7b78296308239a79ae43,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/propane/lambda_0p05/conf.xml,0ab42ba0ec46d78e8b6f8ecd1f99e28af0c6c4303357d7673aa3376a9fb91953,2.0,1.0,0.05,0.002,11433427,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/propane/lambda_0p20/output/Task5_MD_Transition_LIGAnnihilation_3__SYSTEM.ene,f347dd18241fc370a346d1cbced167ac8f62dee57b1def1a942c35bf224e1202,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/propane/lambda_0p20/conf.xml,ddaf1e9e53150bb699e1bf81deb725f196acf75c3f0cb8f45830c613a6e140e8,2.0,3.0,0.2,0.002,11433427,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/propane/lambda_0p30/output/Task5_MD_Transition_LIGAnnihilation_4__SYSTEM.ene,cece947ae41a453f3b7db9417a0f8c783c08d7e0dddd2d185875484dc3c3da55,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/propane/lambda_0p30/conf.xml,38b406f01ef224126568c46c305f91d0e5191e1157842cc4db17a53dec8fc1d1,2.0,4.0,0.3,0.002,11433427,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/propane/lambda_0p40/output/Task5_MD_Transition_LIGAnnihilation_5__SYSTEM.ene,571c3a2de7e68dd8965ccd95dfcb3d1cbb98a2648321d78c2345fc0e1f686c6f,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/propane/lambda_0p40/conf.xml,3b0eb9d069b3bdde6641eb5fa444b408128f00ee4a1c3311261e3342fe5d06c6,2.0,5.0,0.4,0.002,11433427,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/propane/lambda_0p60/output/Task5_MD_Transition_LIGAnnihilation_7__SYSTEM.ene,bdba9372ee132dce2e2a6850378b306b5a9bdf05b32dd64c9cdd0be164d1a122,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/propane/lambda_0p60/conf.xml,480899e49b3eacba957b1bde15d23510661cc9bcc1c174366daeee1e2c7f3ed3,2.0,7.0,0.6,0.002,11433427,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/propane/lambda_0p70/output/Task5_MD_Transition_LIGAnnihilation_8__SYSTEM.ene,8d1a992ea1522af7ce6de548380cc7b75fc8aaa81628dadf24dc92092d2e2f06,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/propane/lambda_0p70/conf.xml,516dc5c11e0cd0a78f71b29982853186583912d23c692df2d45ebdfe0dcd95ac,2.0,8.0,0.7,0.002,11433427,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/propane/lambda_0p75/output/Task5_MD_Transition_LIGAnnihilation_9__SYSTEM.ene,94d3b2891e88507181364076b32b92d84c4f002761f7371cef76cbec1632b279,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/propane/lambda_0p75/conf.xml,1daa0e438a4ecfbecb0c6b87445f90c2f2dab0f98336e384a4a672cb71baef82,2.0,9.0,0.75,0.002,11433427,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/propane/lambda_0p80/output/Task5_MD_Transition_LIGAnnihilation_10__SYSTEM.ene,549ed0f77163d61005c713832524098c3974df06a06bf95090c0019fb180ff4f,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/propane/lambda_0p80/conf.xml,32f911c1c9e6da9b300e988d70eb643f2024a813e5af1ba6e95c793f0eb03729,2.0,10.0,0.8,0.002,11433427,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
