method,total_windows,molecule_name,molecule_id,mean_absolute_error_kcal_mol,mean_signed_error_kcal_mol,split_sd_absolute_error_kcal_mol,coverage_90
fixed_solvai_bq,5,Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,6.447972371847354,-6.447972371847354,1.1084881971559315,0.0
fixed_solvai_bq,5,Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,4.895933502099063,-4.895933502099063,1.2108113947045667,0.16666666666666666
fixed_solvai_bq,7,Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,2.047438436441059,1.3481195095141267,0.4215799265771653,1.0
fixed_solvai_bq,7,AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,2.5475193719740576,-2.5475193719740576,0.7317221739978322,0.5
fixed_solvai_bq,7,Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,1.8795617996737832,-1.8795617996737832,0.9824249285501296,1.0
fixed_solvai_bq,7,Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,1.120101617030992,-1.120101617030992,0.622033292256732,1.0
fixed_solvai_bq,7,DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,2.9571338771177467,-2.9571338771177467,0.7096575825171705,0.0
fixed_solvai_bq,7,EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,0.63607641191176,-0.32127890244753243,0.5105179386902325,1.0
fixed_solvai_bq,7,Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,4.901940998330013,-4.901940998330013,1.037181034466697,0.0
fixed_solvai_bq,7,Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,4.3819964472751405,-4.3819964472751405,1.1802478372237681,0.16666666666666666
generic_bq,5,Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,2.117889423114336,2.117889423114336,0.7158062161510236,0.6666666666666666
generic_bq,5,AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.8408532540610922,-0.8053683480098112,0.8419311909466379,0.8333333333333334
generic_bq,5,Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,0.799494736514375,0.7188363621863987,0.5478801912958231,1.0
generic_bq,5,Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,1.6784171419414111,-1.6784171419414111,0.7632277712372434,0.8333333333333334
generic_bq,5,DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,2.564497721641619,-2.564497721641619,0.39551852313729075,0.0
generic_bq,5,EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,1.3188677691813242,1.3188677691813242,0.7870055671654537,0.8333333333333334
generic_bq,5,Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,3.709397924518791,-3.709397924518791,0.4289359089938937,0.0
generic_bq,5,Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,1.3740384324595827,-1.2982280437524285,1.1429988508545306,0.6666666666666666
generic_bq,7,Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,1.5576318750260516,1.5576318750260516,0.5165944480575112,1.0
generic_bq,7,AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.5157344694190766,-0.2916886935702059,0.5020234482982413,1.0
generic_bq,7,Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,0.817065100053134,0.21070623608379627,0.40648381462357425,1.0
generic_bq,7,Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,2.173695012601295,-2.173695012601295,0.7358607440097221,0.3333333333333333
generic_bq,7,DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,1.9025595285667745,-1.9025595285667745,0.4074037975450078,0.3333333333333333
generic_bq,7,EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,0.5277982573377172,-0.1626099897315234,0.34457541693229027,1.0
generic_bq,7,Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,1.7096893343333923,-1.7096893343333923,1.057801425240117,0.5
generic_bq,7,Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,0.9816629746000672,-0.467969205686654,0.7198085115315451,1.0
uniform_direct,5,Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,0.8585163357443927,0.8585163357443927,0.5631032891302351,
uniform_direct,5,AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,1.5246020036809307,-1.5246020036809307,1.0399193010444896,
uniform_direct,5,Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,0.960006365282935,0.6556730903021192,0.776501669527166,
uniform_direct,5,Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,0.7457833811425528,-0.01328170841001619,0.36922633926101084,
uniform_direct,5,DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,1.8303078517812779,-1.8303078517812779,0.3122205716234164,
uniform_direct,5,EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,2.311788801568183,2.311788801568183,0.5627117038832832,
uniform_direct,5,Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,1.2657563952957165,-1.2657563952957165,0.3042141039009616,
uniform_direct,5,Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,0.911845808778652,-0.7704007595070808,0.6686379381412773,
uniform_direct,7,Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,0.647679484977106,-0.1160635761015169,0.49535323236603,
uniform_direct,7,AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,1.2754451454548577,-1.2754451454548577,0.7472905193735883,
uniform_direct,7,Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,0.9306562801395808,0.6811029082486361,0.8355475620375687,
uniform_direct,7,Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,0.7924097127492806,-0.2565158217789644,0.4530417685792702,
uniform_direct,7,DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,1.8904636298619906,-1.8904636298619906,0.3097934159265818,
uniform_direct,7,EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,1.8182148232971993,1.8182148232971993,0.5647063536831584,
uniform_direct,7,Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,1.0179154820770615,-1.0179154820770615,0.22802948502205753,
uniform_direct,7,Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,1.8070168411665108,-1.8070168411665108,0.6240301628290672,
uniform_solvai_bq,5,Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,3.102998711932073,3.102998711932073,1.0873884904839106,0.3333333333333333
uniform_solvai_bq,5,AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,1.9770130412726983,-1.9770130412726983,0.618388111193423,1.0
uniform_solvai_bq,5,Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,2.1267845616023933,2.1267845616023933,0.9142709622184158,0.8333333333333334
uniform_solvai_bq,5,Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,0.9175125536357255,0.6770732213859866,0.37958988179756625,1.0
uniform_solvai_bq,5,DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,2.4866774511402867,-2.4866774511402867,0.6629407963428784,0.16666666666666666
uniform_solvai_bq,5,EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,1.0616701598496074,1.0616701598496074,0.522051500983703,1.0
uniform_solvai_bq,5,Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,2.883951964949512,-2.883951964949512,1.1409056435449632,0.5
uniform_solvai_bq,5,Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,1.2292377690575353,0.038691122524160036,0.8218189681378262,1.0
uniform_solvai_bq,7,Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,2.856065760946205,2.129673969283861,0.7048297498403129,0.5
uniform_solvai_bq,7,AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,1.533961487949065,-1.533961487949065,0.5644365772664041,1.0
uniform_solvai_bq,7,Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,2.007804453809468,2.007804453809468,1.007000792112832,0.8333333333333334
uniform_solvai_bq,7,Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,1.0028373201340344,0.7853234910812334,0.38629919273756824,1.0
uniform_solvai_bq,7,DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,2.2095753278405152,-2.2095753278405152,0.5708888830707501,0.3333333333333333
uniform_solvai_bq,7,EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,1.043554695803621,1.043554695803621,0.6388724759234973,1.0
uniform_solvai_bq,7,Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,1.714619663904891,-1.6523416455390993,1.0954733042718727,0.8333333333333334
uniform_solvai_bq,7,Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,1.8198453722665968,-1.8198453722665968,0.8444920989794947,1.0
