molecule_name,molecule_id,split,total_windows,added_lambdas,added_indices
DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,3,7,"0.4,0.85,0.6,0.05","5,11,7,1"
DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,4,5,"0.8,0.4","10,5"
DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,4,7,"0.8,0.4,0.3,0.6","10,5,4,7"
DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,5,5,"0.85,0.4","11,5"
DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,5,7,"0.85,0.4,0.2,0.6","11,5,3,7"
EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,0,5,"0.2,0.6","3,7"
EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,0,7,"0.2,0.6,0.7,0.05","3,7,8,1"
EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,1,5,"0.4,0.6","5,7"
EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,1,7,"0.4,0.6,0.85,0.05","5,7,11,1"
EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,2,5,"0.85,0.7","11,8"
EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,2,7,"0.85,0.7,0.05,0.4","11,8,1,5"
EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,3,5,"0.7,0.8","8,10"
EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,3,7,"0.7,0.8,0.75,0.85","8,10,9,11"
EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,4,5,"0.7,0.6","8,7"
EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,4,7,"0.7,0.6,0.05,0.75","8,7,1,9"
EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,5,5,"0.7,0.75","8,9"
EthylAcetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,5,7,"0.7,0.75,0.05,0.85","8,9,1,11"
Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,0,5,"1,0.6","14,7"
Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,0,7,"1,0.6,0.85,0.05","14,7,11,1"
Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,1,5,"1,0.95","14,13"
Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,1,7,"1,0.95,0.8,0.85","14,13,10,11"
Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,2,5,"0.95,0.7","13,8"
Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,2,7,"0.95,0.7,0,0.6","13,8,0,7"
Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,3,5,"0.75,0.95","9,13"
Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,3,7,"0.75,0.95,0.8,0.3","9,13,10,4"
Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,4,5,"0.05,0","1,0"
Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,4,7,"0.05,0,0.6,0.7","1,0,7,8"
Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,5,5,"0.4,0.6","5,7"
Anthracene,MWPLVEDNUUSJAV-UHFFFAOYSA-N,5,7,"0.4,0.6,0.75,0.8","5,7,9,10"
