molecule_name,total_windows,comparison,split_left,split_right,jaccard_added_lambdas
EthylAcetate,7,reversal,2,3,0.3333333333333333
EthylAcetate,7,all_pairs,0,1,0.3333333333333333
EthylAcetate,7,all_pairs,0,2,0.3333333333333333
EthylAcetate,7,all_pairs,0,3,0.14285714285714285
EthylAcetate,7,all_pairs,0,4,0.6
EthylAcetate,7,all_pairs,0,5,0.3333333333333333
EthylAcetate,7,all_pairs,1,2,0.6
EthylAcetate,7,all_pairs,1,3,0.14285714285714285
EthylAcetate,7,all_pairs,1,4,0.3333333333333333
EthylAcetate,7,all_pairs,1,5,0.3333333333333333
EthylAcetate,7,all_pairs,2,3,0.3333333333333333
EthylAcetate,7,all_pairs,2,4,0.3333333333333333
EthylAcetate,7,all_pairs,2,5,0.6
EthylAcetate,7,all_pairs,3,4,0.3333333333333333
EthylAcetate,7,all_pairs,3,5,0.6
EthylAcetate,7,all_pairs,4,5,0.6
Anthracene,7,reversal,0,5,0.14285714285714285
Anthracene,7,reversal,1,4,0.0
Anthracene,7,reversal,2,3,0.14285714285714285
Anthracene,7,all_pairs,0,1,0.3333333333333333
Anthracene,7,all_pairs,0,2,0.14285714285714285
Anthracene,7,all_pairs,0,3,0.0
Anthracene,7,all_pairs,0,4,0.3333333333333333
Anthracene,7,all_pairs,0,5,0.14285714285714285
Anthracene,7,all_pairs,1,2,0.14285714285714285
Anthracene,7,all_pairs,1,3,0.3333333333333333
Anthracene,7,all_pairs,1,4,0.0
Anthracene,7,all_pairs,1,5,0.14285714285714285
Anthracene,7,all_pairs,2,3,0.14285714285714285
Anthracene,7,all_pairs,2,4,0.6
Anthracene,7,all_pairs,2,5,0.14285714285714285
Anthracene,7,all_pairs,3,4,0.0
Anthracene,7,all_pairs,3,5,0.3333333333333333
Anthracene,7,all_pairs,4,5,0.14285714285714285
