role,molecule_name,lambda,frames,mean_dhdl_kcal_mol_recomputed,five_block_sem_kcal_mol_recomputed,energy_sha256,component_sum_max_abs_difference,ti_point,existing_observation
calibration,Propane,0.95,51,-5.792173844545885,1.176235864662216,268a4ab115e27620c9f2ccdf21494641c70522f978081951b0cd23ae6cc2504b,6.758984483212771e-10,13,False
calibration,Propane,1.0,51,0.0,0.0,a209d0759a01dc272e6f03560a4c7aed1e7b3ca63dac4d65ed1dd45eccab6a7a,0.0,14,False
calibration,pyridine,0.0,51,66.97142071758824,2.7012948257229072,d0b001c6c4252fa3905e7793b5864c957a0e14c03e41c43e472285b8c54379ac,2.70000555246952e-09,0,False
calibration,pyridine,0.05,51,49.005052195274516,1.5530078671070442,fe0d9be44563135c5f7bdfe02b1f95f4b46a86b4a2f9cb8d388172531ae41bbc,1.3999965631228406e-09,1,False
calibration,pyridine,0.1,51,40.41555733111765,2.0643716545080713,5a0ed59498fd3d92daeb48be7b8be7778d155da6733c7886adf207686d6655f9,1.1600036486925092e-09,2,True
calibration,pyridine,0.2,51,23.19506704882745,1.5608307457445485,c124cd5564e5d7b93c263dff18883fab33be0cdb5331d03bd426d38d9b6064fe,1.4999947950400383e-09,3,False
calibration,pyridine,0.3,51,15.97311116545588,1.5605570056596123,42ff1945c63ff8c34268d596794b7c35e44f65458f58a8dcec6d55251b41087b,1.500001900467396e-09,4,False
calibration,pyridine,0.4,51,4.74837025273704,1.1154693343188022,6313221e81df966afc64037dd29322602a963a124fdd5e29d5e44c65a6a98962,1.5800054598003044e-09,5,False
calibration,pyridine,0.5,51,-1.8588300584200002,2.2753573358989665,7ed913715d88483abaa265c06fc1027f4ce81d4d1f5cfb75dd95dacb1a91f354,1.0900018665438438e-09,6,True
calibration,pyridine,0.6,51,-7.295803889594569,1.5651610925899666,94a2f90fb7395d0fe9650786f19566a2aca02215d969144418c3dfb2e910bfdf,1.2399983262412206e-09,7,False
calibration,pyridine,0.7,51,1.4214692350893332,1.010363472297463,24f344760d1b2614b809aa757a2be5ce4570e542ff2524ea4ca3fc9095ec11e7,7.330021034590573e-10,8,False
calibration,pyridine,0.75,51,-7.301854120504902,1.4644007893256445,a0b9da8b99fbd1499d5c510cf7ce100c9089a4e0e4d7ac28be4a2eb3d941a1a1,1.24000010259806e-09,9,False
calibration,pyridine,0.8,51,-20.70689096964447,7.115376848550977,005e61f1c5435fdf12dcb2d65841414c674dcd8ed9982ef8b45f8eec3d1d9419,1.1099956509497133e-09,10,False
calibration,pyridine,0.85,51,-14.007085242108039,2.2111692715779796,bc20ccbb8235d9e5f23e3c6e21a174b77ab966018fc6a3897b4bd523341d329c,9.000000744663339e-10,11,False
calibration,pyridine,0.9,51,-24.541327381564713,2.7761161197292146,2d2381e54168d2d371c4e9b82fa2bc7dfc2b6083a4991bb3a30e5594307e7803,8.200018442039436e-10,12,True
calibration,pyridine,0.95,51,-11.352645252266667,1.3824528068365471,368cf71316add64d8ab79e4abae0d073ba18b400d1700f533ca46b44ab7e94d8,9.399983014191093e-10,13,False
calibration,pyridine,1.0,51,0.0,0.0,176311ccddc1e76387bff5238317516d495ef844dc86b19002a8ed6b94197952,0.0,14,False
prospective,Acetamide,0.0,51,117.6022928122549,5.795625556156035,6b9774a93f130cabdb624ab2ffa1d869403a5aeb61f50f756e3a28edb6212c89,4.930001296088449e-09,0,False
prospective,Acetamide,0.05,51,101.08554905470585,2.2968318808240085,1d536433458cf4ba015a5ea84d2c28ed7fe2b81f1d4b92f9ad2fc827b67d97f4,4.879993298345653e-09,1,False
prospective,Acetamide,0.1,51,55.270473185627445,1.8765083756155556,b5d1fdc7ba2899160f07d915d88a5c080495b311661b081726000296887fa4ff,1.3000018839193217e-09,2,True
prospective,Acetamide,0.2,51,25.871178321164702,2.3703839143339533,d8cf3c2440e8bc152005f472ca9495a3b53c2c767dc072e720826d388b1f933f,1.1380052455933765e-09,3,False
prospective,Acetamide,0.3,51,17.451542284349017,2.326939777577403,c0bbbdaafb0ffd3b4ae3b99e2c424803be60c1597a6900f05207af43fedfe52c,1.0000018590972104e-09,4,False
prospective,Acetamide,0.4,51,5.249294237431569,1.7332838504797412,7c27f21d8275ea8b66daec6fa104a4f3aa1c96cfb379aff87225d06c3ae2131a,1.0799983130027613e-09,5,False
prospective,Acetamide,0.5,51,-0.07294182593647051,1.3591023122414165,c09d8dd65c8a043aaababe8048e8dcf29500516f1089662391f67894a2b0f695,9.200014083887709e-10,6,True
