prefix_ps,stabilizer,comparison,mean_difference,ci90_low,ci90_high,ci95_low,ci95_high,fraction_molecules_below_zero
2.0,0.5,aligned_minus_mean_shuffled,-0.020650748709484995,-0.04853795677515442,0.009628439436672524,-0.05319437926547588,0.01599872385374475,0.75
3.0,0.1,solvai_minus_generic,0.0161290599636727,-0.020962366485572245,0.05958902190914498,-0.026737629771438443,0.0691588142965588,0.4166666666666667
3.0,0.1,generic_minus_lambda,-0.16874108214916372,-0.23957725027796295,-0.08983726227577948,-0.2511929813510845,-0.07336685254665187,0.9166666666666666
3.0,0.1,structure_minus_generic,-0.020292481822597703,-0.04293971610417354,0.0058213251579016,-0.04613906051761254,0.011509210413593665,0.75
3.0,0.1,solvai_minus_structure,0.036421541786270405,0.01214943157739282,0.06253934221007615,0.007926952133025614,0.06752351211010658,0.3333333333333333
3.0,0.1,solvai_cold_minus_lambda,0.16103213651124712,0.0789827875004982,0.25561803184539644,0.06729035242380628,0.27576595158887907,0.16666666666666666
3.0,0.1,solvai_cold_minus_structure,0.04865958048356187,-0.03831260225560979,0.14504398401773178,-0.05343651551606936,0.1655106466546549,0.4166666666666667
3.0,0.1,aligned_minus_mean_shuffled,-0.006602300366295333,-0.038884294422043414,0.030740026176006078,-0.04361995195920423,0.038656931094548715,0.6666666666666666
3.0,0.25,solvai_minus_generic,0.01609657731068126,-0.024348866875856925,0.061242988995332266,-0.03108088188460824,0.07113901702161671,0.4166666666666667
3.0,0.25,generic_minus_lambda,-0.10310875154436493,-0.1565033356791367,-0.044034477058114856,-0.1654376760769802,-0.03130312561215766,0.9166666666666666
3.0,0.25,structure_minus_generic,-0.02121799071436703,-0.04602697123347344,0.004894550084043721,-0.05058323167422994,0.01015400107216845,0.75
3.0,0.25,solvai_minus_structure,0.03731456802504829,0.01582736870016715,0.06067568446891606,0.012208585693115987,0.06559892019120653,0.25
3.0,0.25,solvai_cold_minus_lambda,0.12874463620359985,0.051127598634951574,0.2253147449219557,0.04283272230960915,0.24800943981104265,0.16666666666666666
3.0,0.25,solvai_cold_minus_structure,0.028164866637781154,-0.08278908935039445,0.1341557258361276,-0.11030485533922763,0.15654185920680078,0.3333333333333333
3.0,0.25,aligned_minus_mean_shuffled,-0.001168305044702907,-0.03156845222875468,0.03515956655610001,-0.0354246413701867,0.04325866975199072,0.6666666666666666
3.0,0.5,solvai_minus_generic,0.03740093321679903,-0.005375277915409411,0.08363651275102382,-0.012983635919380142,0.0930635854157711,0.4166666666666667
3.0,0.5,generic_minus_lambda,-0.06521766325721245,-0.11583656497603452,-0.008397566132095233,-0.12383795375947079,0.003513678433102005,0.75
3.0,0.5,structure_minus_generic,-0.006382534666564234,-0.036885713976517326,0.026429578591788433,-0.04245932105620113,0.03304929089014742,0.75
3.0,0.5,solvai_minus_structure,0.043783467883363264,0.02376697004129993,0.06533107729716717,0.02041826543557546,0.06974512903813104,0.25
3.0,0.5,solvai_cold_minus_lambda,0.09536802393200607,0.02253039825746744,0.18673094551415184,0.014984905174432786,0.2080255275586812,0.25
3.0,0.5,solvai_cold_minus_structure,0.015653579301975418,-0.07048259447451638,0.10469564458188338,-0.08683257667255291,0.12263937775921184,0.4166666666666667
3.0,0.5,aligned_minus_mean_shuffled,0.007246449956992381,-0.02032737905142386,0.04033012902776508,-0.02412958490688326,0.04734829157602364,0.6666666666666666
