prefix_ps,stabilizer,model,mae,rmse,mean_within_molecule_spearman,top_quartile_auroc
1.0,0.1,generic_observed,1.5115550128177138,1.969859329702235,0.27559523809523806,0.5718118686868687
1.0,0.1,lambda_protocol,1.712794859666909,2.1505038316976095,0.2220238095238095,0.5689709595959596
1.0,0.1,solvai_cold_start,1.8738269961781562,2.3057273211385088,0.14464285714285713,0.579229797979798
1.0,0.1,solvai_conditioned,1.5735863122970986,1.9969053338011322,0.2199404761904761,0.5471906565656566
1.0,0.1,solvai_conditioned_shuffled_88031,1.5626944017554125,1.972739462870868,0.26875,0.5891729797979799
1.0,0.1,solvai_conditioned_shuffled_88032,1.551548038806769,1.953171765162735,0.2622023809523809,0.5874368686868687
1.0,0.1,solvai_conditioned_shuffled_88033,1.672431244254685,2.165805618837841,0.1839285714285714,0.584280303030303
1.0,0.1,solvai_conditioned_shuffled_88034,1.5625928026876277,1.975967407333698,0.25565476190476183,0.5988005050505051
1.0,0.1,solvai_conditioned_shuffled_88035,1.5993073330786078,2.056877218059664,0.21279761904761899,0.5721275252525252
1.0,0.1,structure_cold_start,1.825167415694594,2.220999329304965,0.19107142857142856,0.5879103535353536
1.0,0.1,structure_conditioned,1.6026950232295911,2.033076459628898,0.25744047619047616,0.5568181818181818
1.0,0.25,generic_observed,1.427282267012206,1.8020380062004169,0.2482142857142857,0.5727588383838383
1.0,0.25,lambda_protocol,1.5470045220140909,1.8890134844613589,0.25029761904761905,0.585385101010101
1.0,0.25,solvai_cold_start,1.6757491582176909,2.0303314293537955,0.14672619047619045,0.5891729797979799
1.0,0.25,solvai_conditioned,1.4749761089204099,1.832287006610294,0.22499999999999998,0.5555555555555556
1.0,0.25,solvai_conditioned_shuffled_88031,1.4631873530523516,1.8164446484614163,0.2607142857142857,0.5943813131313131
1.0,0.25,solvai_conditioned_shuffled_88032,1.4450745465450037,1.7762172445654638,0.27232142857142855,0.5850694444444444
1.0,0.25,solvai_conditioned_shuffled_88033,1.5538655946645943,1.9458390138483768,0.1880952380952381,0.5804924242424243
1.0,0.25,solvai_conditioned_shuffled_88034,1.467250096582551,1.805436741595723,0.2282738095238095,0.5958017676767676
1.0,0.25,solvai_conditioned_shuffled_88035,1.496589119264142,1.8709200145570162,0.20238095238095233,0.5754419191919192
1.0,0.25,structure_cold_start,1.6475842915799097,1.9696662299161978,0.19791666666666663,0.5885416666666667
1.0,0.25,structure_conditioned,1.4882422354284757,1.8480425748502476,0.24761904761904754,0.5571338383838383
1.0,0.5,generic_observed,1.3169275436628327,1.614093576409744,0.21249999999999994,0.5740214646464646
1.0,0.5,lambda_protocol,1.3591984161282715,1.6467750172131874,0.256845238095238,0.5973800505050505
1.0,0.5,solvai_cold_start,1.4545664400602776,1.7579136015191998,0.19672619047619044,0.599905303030303
1.0,0.5,solvai_conditioned,1.3423040927466983,1.6376968473850906,0.2285714285714285,0.5696022727272727
1.0,0.5,solvai_conditioned_shuffled_88031,1.327228569818737,1.628185257169726,0.2559523809523809,0.591540404040404
1.0,0.5,solvai_conditioned_shuffled_88032,1.30443837542688,1.5765316037966166,0.26011904761904764,0.5830176767676768
1.0,0.5,solvai_conditioned_shuffled_88033,1.4074220413860181,1.7287103537440127,0.194047619047619,0.579229797979798
1.0,0.5,solvai_conditioned_shuffled_88034,1.3376914993910045,1.6112325422199665,0.20505952380952375,0.5921717171717171
1.0,0.5,solvai_conditioned_shuffled_88035,1.353646337906898,1.6484101718317603,0.20446428571428568,0.5762310606060606
1.0,0.5,structure_cold_start,1.4389128607583024,1.7116449899840307,0.23035714285714282,0.5954861111111112
1.0,0.5,structure_conditioned,1.3444431149262621,1.6425328508291348,0.24107142857142858,0.5681818181818181
2.0,0.1,generic_observed,1.5004178572139535,1.9735086647660816,0.2964285714285714,0.6079545454545454
2.0,0.1,lambda_protocol,1.712794859666909,2.1505038316976095,0.2220238095238095,0.5689709595959596
2.0,0.1,solvai_cold_start,1.8738269961781562,2.3057273211385088,0.14464285714285713,0.579229797979798
2.0,0.1,solvai_conditioned,1.5614337243129013,2.006655109318364,0.24553571428571427,0.6019570707070707
2.0,0.1,solvai_conditioned_shuffled_88031,1.570103048892566,1.9882417484373902,0.3044642857142857,0.6248421717171717
2.0,0.1,solvai_conditioned_shuffled_88032,1.533562360832428,1.9730258183287859,0.31666666666666665,0.6079545454545454
2.0,0.1,solvai_conditioned_shuffled_88033,1.5832796169995282,2.0647614927716345,0.23898809523809517,0.6055871212121212
2.0,0.1,solvai_conditioned_shuffled_88034,1.533760838126964,1.9880148900343897,0.23303571428571423,0.6092171717171717
2.0,0.1,solvai_conditioned_shuffled_88035,1.6264537600375886,2.1064640168212336,0.2511904761904762,0.5918560606060606
2.0,0.1,structure_cold_start,1.825167415694594,2.220999329304965,0.19107142857142856,0.5879103535353536
2.0,0.1,structure_conditioned,1.5338522641985792,1.987612233242666,0.2895833333333333,0.6074810606060606
2.0,0.25,generic_observed,1.4297529006349257,1.8098300514354155,0.288095238095238,0.6060606060606061
2.0,0.25,lambda_protocol,1.5470045220140909,1.8890134844613589,0.25029761904761905,0.585385101010101
2.0,0.25,solvai_cold_start,1.6757491582176909,2.0303314293537955,0.14672619047619045,0.5891729797979799
2.0,0.25,solvai_conditioned,1.4381832570389919,1.811991084154339,0.2595238095238095,0.603219696969697
2.0,0.25,solvai_conditioned_shuffled_88031,1.4513737162525764,1.8028549728809333,0.3050595238095238,0.6336805555555555
2.0,0.25,solvai_conditioned_shuffled_88032,1.4309119734204394,1.7962147622058255,0.3035714285714285,0.6062184343434343
2.0,0.25,solvai_conditioned_shuffled_88033,1.4768500707408152,1.8773989154308197,0.24791666666666665,0.6025883838383838
2.0,0.25,solvai_conditioned_shuffled_88034,1.4375601737205563,1.8127076947996807,0.23124999999999998,0.6095328282828283
2.0,0.25,solvai_conditioned_shuffled_88035,1.5175532996181265,1.9191809991914228,0.24464285714285713,0.5905934343434344
2.0,0.25,structure_cold_start,1.6475842915799097,1.9696662299161978,0.19791666666666663,0.5885416666666667
2.0,0.25,structure_conditioned,1.4309384489031636,1.8064256870489532,0.2797619047619047,0.6130050505050506
2.0,0.5,generic_observed,1.3006773656103512,1.6137165302527652,0.28511904761904755,0.6049558080808081
2.0,0.5,lambda_protocol,1.3591984161282715,1.6467750172131874,0.256845238095238,0.5973800505050505
2.0,0.5,solvai_cold_start,1.4545664400602776,1.7579136015191998,0.19672619047619044,0.599905303030303
2.0,0.5,solvai_conditioned,1.3057300958793832,1.613101331186049,0.25327380952380946,0.6074810606060606
2.0,0.5,solvai_conditioned_shuffled_88031,1.3284085357787154,1.6128364851389276,0.28124999999999994,0.6224747474747475
2.0,0.5,solvai_conditioned_shuffled_88032,1.3243333627835268,1.6192575224344041,0.2797619047619047,0.575915404040404
