n_molecules,production_ps_per_stream_window,reference_threshold_kcal_mol,reliability_probability,median_cohort_q90_kcal_mol,q90_of_cohort_q90_kcal_mol
32,500,0.11144982433475654,4e-05,0.2617904888874942,0.28556874836947105
32,1000,0.11144982433475654,0.00744,0.18511382994248868,0.20192759846700783
32,1500,0.11144982433475654,0.0248,0.15114480923047852,0.16487319374325865
32,2000,0.11144982433475654,0.19446,0.1308952444437471,0.14278437418473552
32,3000,0.11144982433475654,0.72354,0.10687551954801844,0.11658295333174164
32,4000,0.11144982433475654,0.95596,0.09255691497124434,0.10096379923350392
32,5000,0.11144982433475654,0.95596,0.08278542146534813,0.09030476734110236
40,20,0.11144982433475654,0.0,1.3097204723412488,1.4278437418473555
40,50,0.11144982433475654,0.0,0.8283399581499817,0.9030476734110237
40,100,0.11144982433475654,0.0,0.5857248015356331,0.6385511336036696
40,200,0.11144982433475654,0.0,0.41416997907499087,0.4515238367055118
40,500,0.11144982433475654,0.0,0.26194409446824973,0.28556874836947105
40,1000,0.11144982433475654,0.0021,0.185222445490269,0.20192759846700783
40,1500,0.11144982433475654,0.01526,0.15123349345387677,0.16487319374325865
40,2000,0.11144982433475654,0.17614,0.13097204723412487,0.14278437418473552
40,3000,0.11144982433475654,0.75224,0.1069382287637676,0.11658295333174164
40,4000,0.11144982433475654,0.9752,0.0926112227451345,0.10096379923350392
40,5000,0.11144982433475654,0.9752,0.08283399581499817,0.09030476734110236
48,20,0.11144982433475654,0.0,1.3097204723412488,1.4278437418473555
48,50,0.11144982433475654,0.0,0.8283399581499817,0.9030476734110237
48,100,0.11144982433475654,0.0,0.5857248015356331,0.6385511336036696
48,200,0.11144982433475654,0.0,0.41416997907499087,0.4515238367055118
48,500,0.11144982433475654,0.0,0.26194409446824973,0.28556874836947105
48,1000,0.11144982433475654,0.00042,0.185222445490269,0.20192759846700783
48,1500,0.11144982433475654,0.0107,0.15123349345387677,0.16487319374325865
48,2000,0.11144982433475654,0.0829,0.13097204723412487,0.14278437418473552
48,3000,0.11144982433475654,0.78644,0.1069382287637676,0.11658295333174164
48,4000,0.11144982433475654,0.95538,0.0926112227451345,0.10096379923350392
48,5000,0.11144982433475654,0.98532,0.08283399581499817,0.09030476734110236
64,20,0.11144982433475654,0.0,1.3097204723412488,1.4278437418473555
64,50,0.11144982433475654,0.0,0.8283399581499817,0.9030476734110237
64,100,0.11144982433475654,0.0,0.5857248015356331,0.6385511336036696
64,200,0.11144982433475654,0.0,0.41416997907499087,0.4515238367055118
64,500,0.11144982433475654,0.0,0.26194409446824973,0.28556874836947105
64,1000,0.11144982433475654,0.00018,0.185222445490269,0.20192759846700783
64,1500,0.11144982433475654,0.00144,0.15123349345387677,0.16487319374325865
64,2000,0.11144982433475654,0.07382,0.13097204723412487,0.14278437418473552
64,3000,0.11144982433475654,0.71618,0.1069382287637676,0.11658295333174164
64,4000,0.11144982433475654,0.9831,0.0926112227451345,0.10096379923350392
64,5000,0.11144982433475654,0.9839,0.08283399581499817,0.09030476734110236
80,20,0.11144982433475654,0.0,1.3097204723412488,1.4278437418473555
