n_molecules,production_ps_per_stream_window,streams,lambda_windows,power_budget5,power_budget7,type1_budget5,type1_budget7,reference_reliability_probability,production_total_ps,projected_production_gpu_hours,operational_reservation_gpu_hours,numerically_adequate
64,1500,2,15,0.76888,0.31686,0.03178,0.0326,0.00144,2880000,7785.845980827355,8642.289038718365,False
64,2000,2,15,0.76888,0.31686,0.03178,0.0326,0.07382,3840000,10381.127974436473,11523.052051624485,False
64,3000,2,15,0.76888,0.31686,0.03178,0.0326,0.71618,5760000,15571.69196165471,17284.57807743673,False
64,4000,2,15,0.76888,0.31686,0.03178,0.0326,0.9831,7680000,20762.255948872946,23046.10410324897,False
64,5000,2,15,0.76888,0.31686,0.03178,0.0326,0.9839,9600000,25952.819936091182,28807.630129061214,False
80,20,2,15,0.85558,0.37856,0.03084,0.02934,0.0,48000,129.7640996804559,144.03815064530608,False
80,50,2,15,0.85558,0.37856,0.03084,0.02934,0.0,120000,324.4102492011398,360.09537661326516,False
80,100,2,15,0.85558,0.37856,0.03084,0.02934,0.0,240000,648.8204984022796,720.1907532265303,False
80,200,2,15,0.85558,0.37856,0.03084,0.02934,0.0,480000,1297.640996804559,1440.3815064530606,False
80,500,2,15,0.85558,0.37856,0.03084,0.02934,0.0,1200000,3244.1024920113978,3600.9537661326517,False
80,1000,2,15,0.85558,0.37856,0.03084,0.02934,2e-05,2400000,6488.2049840227955,7201.907532265303,False
80,1500,2,15,0.85558,0.37856,0.03084,0.02934,0.00062,3600000,9732.307476034193,10802.861298397955,False
80,2000,2,15,0.85558,0.37856,0.03084,0.02934,0.06706,4800000,12976.409968045591,14403.815064530607,False
80,3000,2,15,0.85558,0.37856,0.03084,0.02934,0.77838,7200000,19464.614952068387,21605.72259679591,False
80,4000,2,15,0.85558,0.37856,0.03084,0.02934,0.99366,9600000,25952.819936091182,28807.630129061214,False
80,5000,2,15,0.85558,0.37856,0.03084,0.02934,0.99366,12000000,32441.024920113978,36009.53766132652,False
96,20,2,15,0.91136,0.43544,0.0313,0.031,0.0,57600,155.7169196165471,172.84578077436728,False
96,50,2,15,0.91136,0.43544,0.0313,0.031,0.0,144000,389.29229904136776,432.1144519359182,False
96,100,2,15,0.91136,0.43544,0.0313,0.031,0.0,288000,778.5845980827355,864.2289038718365,False
96,200,2,15,0.91136,0.43544,0.0313,0.031,0.0,576000,1557.169196165471,1728.457807743673,False
96,500,2,15,0.91136,0.43544,0.0313,0.031,0.0,1440000,3892.9229904136773,4321.144519359183,False
96,1000,2,15,0.91136,0.43544,0.0313,0.031,0.0,2880000,7785.845980827355,8642.289038718365,False
96,1500,2,15,0.91136,0.43544,0.0313,0.031,0.00032,4320000,11678.768971241032,12963.433558077546,False
96,2000,2,15,0.91136,0.43544,0.0313,0.031,0.03064,5760000,15571.69196165471,17284.57807743673,False
96,3000,2,15,0.91136,0.43544,0.0313,0.031,0.72568,8640000,23357.537942482064,25926.867116155092,False
96,4000,2,15,0.91136,0.43544,0.0313,0.031,0.99328,11520000,31143.38392330942,34569.15615487346,False
96,5000,2,15,0.91136,0.43544,0.0313,0.031,0.99792,14400000,38929.22990413677,43211.44519359182,False
128,20,2,15,0.97034,0.54464,0.03,0.02902,0.0,76800,207.62255948872945,230.4610410324897,False
128,50,2,15,0.97034,0.54464,0.03,0.02902,0.0,192000,519.0563987218236,576.1526025812243,False
128,100,2,15,0.97034,0.54464,0.03,0.02902,0.0,384000,1038.1127974436472,1152.3052051624486,False
128,200,2,15,0.97034,0.54464,0.03,0.02902,0.0,768000,2076.2255948872944,2304.610410324897,False
128,500,2,15,0.97034,0.54464,0.03,0.02902,0.0,1920000,5190.563987218236,5761.526025812243,False
128,1000,2,15,0.97034,0.54464,0.03,0.02902,0.0,3840000,10381.127974436473,11523.052051624485,False
128,1500,2,15,0.97034,0.54464,0.03,0.02902,4e-05,5760000,15571.69196165471,17284.57807743673,False
128,2000,2,15,0.97034,0.54464,0.03,0.02902,0.0141,7680000,20762.255948872946,23046.10410324897,False
128,3000,2,15,0.97034,0.54464,0.03,0.02902,0.82074,11520000,31143.38392330942,34569.15615487346,False
128,4000,2,15,0.97034,0.54464,0.03,0.02902,0.99722,15360000,41524.51189774589,46092.20820649794,False
128,5000,2,15,0.97034,0.54464,0.03,0.02902,0.99922,19200000,51905.639872182364,57615.26025812243,False
160,20,2,15,0.99062,0.63788,0.0294,0.0292,0.0,96000,259.5281993609118,288.07630129061215,False
160,50,2,15,0.99062,0.63788,0.0294,0.0292,0.0,240000,648.8204984022796,720.1907532265303,False
160,100,2,15,0.99062,0.63788,0.0294,0.0292,0.0,480000,1297.640996804559,1440.3815064530606,False
160,200,2,15,0.99062,0.63788,0.0294,0.0292,0.0,960000,2595.281993609118,2880.7630129061213,False
160,500,2,15,0.99062,0.63788,0.0294,0.0292,0.0,2400000,6488.2049840227955,7201.907532265303,False
160,1000,2,15,0.99062,0.63788,0.0294,0.0292,0.0,4800000,12976.409968045591,14403.815064530607,False
160,1500,2,15,0.99062,0.63788,0.0294,0.0292,0.0,7200000,19464.614952068387,21605.72259679591,False
