molecule_id,molecule_name,canonical_smiles,inchi_key,inchi_connectivity_key,functional_group_family,scaffold,has_probe_lambda01,has_probe_lambda05,has_probe_lambda09,complete_three_point_curve,fold_random,fold_family,fold_scaffold,delta_g_exp,delta_g_classical_arrow,delta_g_pimd4,delta_g_pimd8,active_exposure_tier
OFBQJSOFQDEBGM-UHFFFAOYSA-N,Pentane,CCCCC,OFBQJSOFQDEBGM-UHFFFAOYSA-N,OFBQJSOFQDEBGM,Alkanes,ACYCLIC::alkanes,True,True,True,True,1,1,1,2.3422,1.3931,,2.2838,ARROW-development
VLKZOEOYAKHREP-UHFFFAOYSA-N,Hexane,CCCCCC,VLKZOEOYAKHREP-UHFFFAOYSA-N,VLKZOEOYAKHREP,Alkanes,ACYCLIC::alkanes,True,True,True,True,3,1,1,2.5095,1.5718,,2.446,ARROW-development
TVMXDCGIABBOFY-UHFFFAOYSA-N,Octane,CCCCCCCC,TVMXDCGIABBOFY-UHFFFAOYSA-N,TVMXDCGIABBOFY,Alkanes,ACYCLIC::alkanes,True,True,True,True,1,1,1,2.8919,1.6265,,2.8366,ARROW-development
VGGSQFUCUMXWEO-UHFFFAOYSA-N,Ethene,C=C,VGGSQFUCUMXWEO-UHFFFAOYSA-N,VGGSQFUCUMXWEO,Alkenes,ACYCLIC::alkenes,True,True,True,True,2,4,3,1.28,0.99,,1.47,ARROW-development
QQONPFPTGQHPMA-UHFFFAOYSA-N,Propene,C=CC,QQONPFPTGQHPMA-UHFFFAOYSA-N,QQONPFPTGQHPMA,Alkenes,ACYCLIC::alkenes,True,True,True,True,0,4,3,1.32,0.84,,1.37,ARROW-development
KAKZBPTYRLMSJV-UHFFFAOYSA-N,Buta-13-diene,C=CC=C,KAKZBPTYRLMSJV-UHFFFAOYSA-N,KAKZBPTYRLMSJV,Alkenes,ACYCLIC::alkenes,True,True,True,True,2,4,3,0.61,0.3,,0.96,ARROW-development
VXNZUUAINFGPBY-UHFFFAOYSA-N,But-1-ene,C=CCC,VXNZUUAINFGPBY-UHFFFAOYSA-N,VXNZUUAINFGPBY,Alkenes,ACYCLIC::alkenes,True,True,True,True,4,4,3,1.38,0.84,,1.63,ARROW-development
YWAKXRMUMFPDSH-UHFFFAOYSA-N,pent-1-ene,C=CCCC,YWAKXRMUMFPDSH-UHFFFAOYSA-N,YWAKXRMUMFPDSH,Alkenes,ACYCLIC::alkenes,True,True,True,True,3,4,3,1.6800000000000002,1.09,,1.93,ARROW-development
BAVYZALUXZFZLV-UHFFFAOYSA-N,methylamine,CN,BAVYZALUXZFZLV-UHFFFAOYSA-N,BAVYZALUXZFZLV,Amines,ACYCLIC::amines,True,True,True,True,0,3,4,-4.55,-5.04,,-4.39,ARROW-development
ROSDSFDQCJNGOL-UHFFFAOYSA-N,dimethylamine,CNC,ROSDSFDQCJNGOL-UHFFFAOYSA-N,ROSDSFDQCJNGOL,Amines,ACYCLIC::amines,True,True,True,True,3,3,4,-4.3,-5.68,,-4.53,ARROW-development
GETQZCLCWQTVFV-UHFFFAOYSA-N,trimethylamine,CN(C)C,GETQZCLCWQTVFV-UHFFFAOYSA-N,GETQZCLCWQTVFV,Amines,ACYCLIC::amines,True,True,True,True,2,3,4,-3.2,-4.24,,-3.18,ARROW-development
HQABUPZFAYXKJW-UHFFFAOYSA-N,butanamine,CCCCN,HQABUPZFAYXKJW-UHFFFAOYSA-N,HQABUPZFAYXKJW,Amines,ACYCLIC::amines,True,True,True,True,3,3,4,-4.24,-5.41,,-3.96,ARROW-development
QUSNBJAOOMFDIB-UHFFFAOYSA-N,ethylamine,CCN,QUSNBJAOOMFDIB-UHFFFAOYSA-N,QUSNBJAOOMFDIB,Amines,ACYCLIC::amines,False,True,False,False,0,3,4,-4.5,-5.53,,-4.38,ARROW-development
LCGLNKUTAGEVQW-UHFFFAOYSA-N,DiMethylEther,COC,LCGLNKUTAGEVQW-UHFFFAOYSA-N,LCGLNKUTAGEVQW,Ethers,ACYCLIC::ethers,True,True,True,True,2,0,4,-1.91,-2.7798,,-2.2813,ARROW-development
RTZKZFJDLAIYFH-UHFFFAOYSA-N,DiethylEther,CCOCC,RTZKZFJDLAIYFH-UHFFFAOYSA-N,RTZKZFJDLAIYFH,Ethers,ACYCLIC::ethers,False,False,False,False,2,0,4,-1.75,-2.7015,,-1.8523,ARROW-development
XTHFKEDIFFGKHM-UHFFFAOYSA-N,DiMethoxyEthane,COCCOC,XTHFKEDIFFGKHM-UHFFFAOYSA-N,XTHFKEDIFFGKHM,Ethers,ACYCLIC::ethers,False,False,False,False,4,0,4,-4.84,-5.207,,-4.6433,ARROW-development
VNKYTQGIUYNRMY-UHFFFAOYSA-N,MethylPropylEther,CCCOC,VNKYTQGIUYNRMY-UHFFFAOYSA-N,VNKYTQGIUYNRMY,Ethers,ACYCLIC::ethers,False,False,False,False,1,0,4,-1.66,-2.3191,,-1.6636,ARROW-development
IKHGUXGNUITLKF-UHFFFAOYSA-N,acetaldehyde,CC=O,IKHGUXGNUITLKF-UHFFFAOYSA-N,IKHGUXGNUITLKF,Aldehydes,ACYCLIC::aldehydes,True,True,True,True,4,3,0,-3.5,-3.678,,-3.2252,ARROW-development
NBBJYMSMWIIQGU-UHFFFAOYSA-N,propionaldehyde,CCC=O,NBBJYMSMWIIQGU-UHFFFAOYSA-N,NBBJYMSMWIIQGU,Aldehydes,ACYCLIC::aldehydes,True,True,True,True,0,3,0,-3.43,-3.7325,,-3.1774,ARROW-development
ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,buytyraldehyde,CCCC=O,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,ZTQSAGDEMFDKMZ,Aldehydes,ACYCLIC::aldehydes,True,True,True,True,0,3,0,-3.18,-3.7863,,-3.25,ARROW-development
CSCPPACGZOOCGX-UHFFFAOYSA-N,Acetone,CC(C)=O,CSCPPACGZOOCGX-UHFFFAOYSA-N,CSCPPACGZOOCGX,Ketones,ACYCLIC::ketones,True,True,True,True,2,3,3,-3.8,-4.1309,,-3.4858,ARROW-development
ZWEHNKRNPOVVGH-UHFFFAOYSA-N,2-Butanone,CCC(C)=O,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,ZWEHNKRNPOVVGH,Ketones,ACYCLIC::ketones,True,True,True,True,4,3,3,-3.71,-4.1447,,-3.5458,ARROW-development
XNLICIUVMPYHGG-UHFFFAOYSA-N,2-Pentanone,CCCC(C)=O,XNLICIUVMPYHGG-UHFFFAOYSA-N,XNLICIUVMPYHGG,Ketones,ACYCLIC::ketones,True,True,True,True,3,3,3,-3.52,-4.1949,,-3.5087,ARROW-development
FDPIMTJIUBPUKL-UHFFFAOYSA-N,3-Pentanone,CCC(=O)CC,FDPIMTJIUBPUKL-UHFFFAOYSA-N,FDPIMTJIUBPUKL,Ketones,ACYCLIC::ketones,True,True,True,True,4,3,3,-3.41,-4.2903,,-3.6394,ARROW-development
QQZOPKMRPOGIEB-UHFFFAOYSA-N,hexa2none,CCCCC(C)=O,QQZOPKMRPOGIEB-UHFFFAOYSA-N,QQZOPKMRPOGIEB,Ketones,ACYCLIC::ketones,True,True,True,True,0,3,3,-3.28,-3.9748,,-3.4831,ARROW-development
QTBSBXVTEAMEQO-UHFFFAOYSA-N,AceticAcid,CC(=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,QTBSBXVTEAMEQO,Acids,ACYCLIC::acids,True,True,True,True,0,4,2,-6.69,-6.8778,,-6.3481,ARROW-development
XBDQKXXYIPTUBI-UHFFFAOYSA-N,propionicacid,CCC(=O)O,XBDQKXXYIPTUBI-UHFFFAOYSA-N,XBDQKXXYIPTUBI,Acids,ACYCLIC::acids,True,True,True,True,4,4,2,-6.46,-6.7004,,-6.2059,ARROW-development
FERIUCNNQQJTOY-UHFFFAOYSA-N,butyricacid,CCCC(=O)O,FERIUCNNQQJTOY-UHFFFAOYSA-N,FERIUCNNQQJTOY,Acids,ACYCLIC::acids,True,True,True,True,1,4,2,-6.35,-6.5977,,-5.9512,ARROW-development
UHOVQNZJYSORNB-UHFFFAOYSA-N,Benzene,c1ccccc1,UHOVQNZJYSORNB-UHFFFAOYSA-N,UHOVQNZJYSORNB,Aromatics,c1ccccc1,True,True,True,True,0,0,2,-0.88,-1.4551,,-1.0519,ARROW-development
UFWIBTONFRDIAS-UHFFFAOYSA-N,Napthalene,c1ccc2ccccc2c1,UFWIBTONFRDIAS-UHFFFAOYSA-N,UFWIBTONFRDIAS,Aromatics,c1ccc2ccccc2c1,True,True,True,True,0,0,3,-2.4,-3.1357,,-2.6445,ARROW-development
MWPLVEDNUUSJAV-UHFFFAOYSA-N,Anthracene,c1ccc2cc3ccccc3cc2c1,MWPLVEDNUUSJAV-UHFFFAOYSA-N,MWPLVEDNUUSJAV,Aromatics,c1ccc2cc3ccccc3cc2c1,True,True,True,True,0,0,2,-3.95,-4.2716,,-3.883,ARROW-development
IFLREYGFSNHWGE-UHFFFAOYSA-N,tetracene,c1ccc2cc3cc4ccccc4cc3cc2c1,IFLREYGFSNHWGE-UHFFFAOYSA-N,IFLREYGFSNHWGE,Aromatics,c1ccc2cc3cc4ccccc4cc3cc2c1,True,True,True,True,4,0,1,-5.5,-5.8887,,-5.0602,ARROW-development
BBEAQIROQSPTKN-UHFFFAOYSA-N,pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,BBEAQIROQSPTKN-UHFFFAOYSA-N,BBEAQIROQSPTKN,Aromatics,c1cc2ccc3cccc4ccc(c1)c2c34,False,False,False,False,2,0,1,-4.52,-4.9711,,-4.5089,ARROW-development
YNPNZTXNASCQKK-UHFFFAOYSA-N,phenanthrene,c1ccc2c(c1)ccc1ccccc12,YNPNZTXNASCQKK-UHFFFAOYSA-N,YNPNZTXNASCQKK,Aromatics,c1ccc2c(c1)ccc1ccccc12,True,True,True,True,0,0,0,-3.88,-4.2254,,-3.971,ARROW-development
ZUOUZKKEUPVFJK-UHFFFAOYSA-N,Biphenyl,c1ccc(-c2ccccc2)cc1,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,ZUOUZKKEUPVFJK,Aromatics,c1ccc(-c2ccccc2)cc1,True,True,True,True,1,0,3,-2.66,-3.8341,,-2.7874,ARROW-development
YXFVVABEGXRONW-UHFFFAOYSA-N,Toluene,Cc1ccccc1,YXFVVABEGXRONW-UHFFFAOYSA-N,YXFVVABEGXRONW,Aromatics,c1ccccc1,True,True,True,True,2,0,2,-0.89,-1.7225,,-0.9943,ARROW-development
ISWSIDIOOBJBQZ-UHFFFAOYSA-N,Phenol,Oc1ccccc1,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,ISWSIDIOOBJBQZ,Aromatics,c1ccccc1,False,False,False,False,2,0,2,-6.62,-7.6381,,-6.8008,ARROW-development
IWDCLRJOBJJRNH-UHFFFAOYSA-N,p-cresol,Cc1ccc(O)cc1,IWDCLRJOBJJRNH-UHFFFAOYSA-N,IWDCLRJOBJJRNH,Aromatics,c1ccccc1,True,True,True,True,3,0,2,-6.14,-7.6155,,-6.7102,ARROW-development
RLSSMJSEOOYNOY-UHFFFAOYSA-N,m-cresol,Cc1cccc(O)c1,RLSSMJSEOOYNOY-UHFFFAOYSA-N,RLSSMJSEOOYNOY,Aromatics,c1ccccc1,True,True,True,True,4,0,2,-5.49,-7.6077,,-6.5195,ARROW-development
QWVGKYWNOKOFNN-UHFFFAOYSA-N,o-cresol,Cc1ccccc1O,QWVGKYWNOKOFNN-UHFFFAOYSA-N,QWVGKYWNOKOFNN,Aromatics,c1ccccc1,True,True,True,True,2,0,2,-5.87,-7.1439,,-6.1497,ARROW-development
XLYOFNOQVPJJNP-UHFFFAOYSA-N,Water,O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,XLYOFNOQVPJJNP,Aromatics,ACYCLIC::aromatics,True,True,True,True,3,0,4,-6.3,-6.8106,-6.2,-6.128,ARROW-development
OKKJLVBELUTLKV-UHFFFAOYSA-N,Methanol,CO,OKKJLVBELUTLKV-UHFFFAOYSA-N,OKKJLVBELUTLKV,Alcohols,ACYCLIC::alcohols,True,True,True,True,1,2,0,-5.11,-5.39,,-4.76,ARROW-development
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Ethanol,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,LFQSCWFLJHTTHZ,Alcohols,ACYCLIC::alcohols,True,True,True,True,2,2,0,-5.01,-5.75,-5.18,-4.94,ARROW-development
BDERNNFJNOPAEC-UHFFFAOYSA-N,Propanol,CCCO,BDERNNFJNOPAEC-UHFFFAOYSA-N,BDERNNFJNOPAEC,Alcohols,ACYCLIC::alcohols,True,True,True,True,3,2,0,-4.92,-5.5,,-4.74,ARROW-development
KFZMGEQAYNKOFK-UHFFFAOYSA-N,2-Propanol,CC(C)O,KFZMGEQAYNKOFK-UHFFFAOYSA-N,KFZMGEQAYNKOFK,Alcohols,ACYCLIC::alcohols,False,False,False,False,0,2,0,-4.62,-5.88,,-4.62,ARROW-development
LRHPLDYGYMQRHN-UHFFFAOYSA-N,1-Butanol,CCCCO,LRHPLDYGYMQRHN-UHFFFAOYSA-N,LRHPLDYGYMQRHN,Alcohols,ACYCLIC::alcohols,True,True,True,True,0,2,0,-4.72,-5.57,,-4.66,ARROW-development
BTANRVKWQNVYAZ-UHFFFAOYSA-N,2-Butanol,CCC(C)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,BTANRVKWQNVYAZ,Alcohols,ACYCLIC::alcohols,False,False,False,False,4,2,0,-4.58,-5.99,,-4.66,ARROW-development
DKGAVHZHDRPRBM-UHFFFAOYSA-N,2-Methyl-2-Propanol,CC(C)(C)O,DKGAVHZHDRPRBM-UHFFFAOYSA-N,DKGAVHZHDRPRBM,Alcohols,ACYCLIC::alcohols,False,False,False,False,0,2,0,-4.51,-5.36,,-4.16,ARROW-development
AMQJEAYHLZJPGS-UHFFFAOYSA-N,1-Pentanol,CCCCCO,AMQJEAYHLZJPGS-UHFFFAOYSA-N,AMQJEAYHLZJPGS,Alcohols,ACYCLIC::alcohols,False,True,True,False,2,2,0,-4.47,-5.65,,-4.52,ARROW-development
MSXVEPNJUHWQHW-UHFFFAOYSA-N,2-Methyl-2-Butanol,CCC(C)(C)O,MSXVEPNJUHWQHW-UHFFFAOYSA-N,MSXVEPNJUHWQHW,Alcohols,ACYCLIC::alcohols,True,True,True,True,0,2,0,-4.43,-5.36,,-4.6,ARROW-development
JYVLIDXNZAXMDK-UHFFFAOYSA-N,2-Pentanol,CCCC(C)O,JYVLIDXNZAXMDK-UHFFFAOYSA-N,JYVLIDXNZAXMDK,Alcohols,ACYCLIC::alcohols,True,True,True,True,4,2,0,-4.39,-6.07,,-4.47,ARROW-development
AQIXEPGDORPWBJ-UHFFFAOYSA-N,3-Pentanol,CCC(O)CC,AQIXEPGDORPWBJ-UHFFFAOYSA-N,AQIXEPGDORPWBJ,Alcohols,ACYCLIC::alcohols,True,True,True,True,2,2,0,-4.35,-5.71,,-4.2,ARROW-development
HPXRVTGHNJAIIH-UHFFFAOYSA-N,Cyclohexanol,OC1CCCCC1,HPXRVTGHNJAIIH-UHFFFAOYSA-N,HPXRVTGHNJAIIH,Alcohols,C1CCCCC1,False,False,False,False,1,2,1,-5.47,-6.56,,-5.13,ARROW-development
KBPLFHHGFOOTCA-UHFFFAOYSA-N,Octanol,CCCCCCCCO,KBPLFHHGFOOTCA-UHFFFAOYSA-N,KBPLFHHGFOOTCA,Alcohols,ACYCLIC::alcohols,True,True,True,True,3,2,0,-4.09,-5.49,,-3.87,ARROW-development
XEKOWRVHYACXOJ-UHFFFAOYSA-N,EthylAcetate,CCOC(C)=O,XEKOWRVHYACXOJ-UHFFFAOYSA-N,XEKOWRVHYACXOJ,Esters,ACYCLIC::esters,True,True,True,True,2,1,1,-3.12,-3.3956,,-2.7991,ARROW-development
RJUFJBKOKNCXHH-UHFFFAOYSA-N,MethylPropionate,CCC(=O)OC,RJUFJBKOKNCXHH-UHFFFAOYSA-N,RJUFJBKOKNCXHH,Esters,ACYCLIC::esters,True,True,True,True,1,1,1,-2.93,-3.5534,,-3.0303,ARROW-development
YKYONYBAUNKHLG-UHFFFAOYSA-N,PropylAcetate,CCCOC(C)=O,YKYONYBAUNKHLG-UHFFFAOYSA-N,YKYONYBAUNKHLG,Esters,ACYCLIC::esters,True,True,True,True,1,1,1,-2.86,-3.5024,,-2.7904,ARROW-development
DKPFZGUDAPQIHT-UHFFFAOYSA-N,ButylAcetate,CCCCOC(C)=O,DKPFZGUDAPQIHT-UHFFFAOYSA-N,DKPFZGUDAPQIHT,Esters,ACYCLIC::esters,True,True,True,True,3,1,1,-2.55,-3.4002,,-2.477,ARROW-development
DLFVBJFMPXGRIB-UHFFFAOYSA-N,Acetamide,CC(N)=O,DLFVBJFMPXGRIB-UHFFFAOYSA-N,DLFVBJFMPXGRIB,Amides,ACYCLIC::amides,True,True,True,True,4,2,2,-9.71,-10.5778,,-9.6468,ARROW-development
OHLUUHNLEMFGTQ-UHFFFAOYSA-N,N-Methylacetamide,CNC(C)=O,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,OHLUUHNLEMFGTQ,Amides,ACYCLIC::amides,True,True,True,True,4,2,2,-10.0,-11.5197,,-10.4937,ARROW-development
FXHOOIRPVKKKFG-UHFFFAOYSA-N,DiMethylAcetamide,CC(=O)N(C)C,FXHOOIRPVKKKFG-UHFFFAOYSA-N,FXHOOIRPVKKKFG,Amides,ACYCLIC::amides,True,True,True,True,4,2,2,-8.5,-9.1358,,-8.5092,ARROW-development
QLNJFJADRCOGBJ-UHFFFAOYSA-N,propionamide,CCC(N)=O,QLNJFJADRCOGBJ-UHFFFAOYSA-N,QLNJFJADRCOGBJ,Amides,ACYCLIC::amides,False,False,False,False,1,2,2,-9.4,-10.614,,-9.5683,ARROW-development
LSDPWZHWYPCBBB-UHFFFAOYSA-N,MethaneThiol,CS,LSDPWZHWYPCBBB-UHFFFAOYSA-N,LSDPWZHWYPCBBB,Thiols,ACYCLIC::thiols,True,True,True,True,4,3,4,-1.219,-2.012,,-1.649,ARROW-development
DNJIEGIFACGWOD-UHFFFAOYSA-N,EthaneThiol,CCS,DNJIEGIFACGWOD-UHFFFAOYSA-N,DNJIEGIFACGWOD,Thiols,ACYCLIC::thiols,True,True,True,True,1,3,4,-1.24,-2.18,,-1.67,ARROW-development
SUVIGLJNEAMWEG-UHFFFAOYSA-N,Propanethiol,CCCS,SUVIGLJNEAMWEG-UHFFFAOYSA-N,SUVIGLJNEAMWEG,Thiols,ACYCLIC::thiols,False,False,False,False,1,3,4,-1.05,-1.86,,-1.45,ARROW-development
WQAQPCDUOCURKW-UHFFFAOYSA-N,1-Butanethiol,CCCCS,WQAQPCDUOCURKW-UHFFFAOYSA-N,WQAQPCDUOCURKW,Thiols,ACYCLIC::thiols,True,True,True,True,3,3,4,-0.99,-2.14,,-1.49,ARROW-development
QMMFVYPAHWMCMS-UHFFFAOYSA-N,DiMethylSulfide,CSC,QMMFVYPAHWMCMS-UHFFFAOYSA-N,QMMFVYPAHWMCMS,Sulfides,ACYCLIC::sulfides,True,True,True,True,1,4,3,-1.54,-2.13,,-1.7,ARROW-development
LJSQFQKUNVCTIA-UHFFFAOYSA-N,DiEthylSulfide,CCSCC,LJSQFQKUNVCTIA-UHFFFAOYSA-N,LJSQFQKUNVCTIA,Sulfides,ACYCLIC::sulfides,True,True,True,True,3,4,3,-1.43,-2.32,,-1.55,ARROW-development
WXEHBUMAEPOYKP-UHFFFAOYSA-N,EthylMethylSulfide,CCSC,WXEHBUMAEPOYKP-UHFFFAOYSA-N,WXEHBUMAEPOYKP,Sulfides,ACYCLIC::sulfides,True,True,True,True,3,4,3,-1.5,-1.97,,-1.61,ARROW-development
WQOXQRCZOLPYPM-UHFFFAOYSA-N,DimethylDisulfide,CSSC,WQOXQRCZOLPYPM-UHFFFAOYSA-N,WQOXQRCZOLPYPM,Sulfides,ACYCLIC::sulfides,True,True,True,True,2,4,3,-1.83,-2.64,,-1.85,ARROW-development
ZFRKQXVRDFCRJG-UHFFFAOYSA-N,3-methyl-indole,Cc1c[nH]c2ccccc12,ZFRKQXVRDFCRJG-UHFFFAOYSA-N,ZFRKQXVRDFCRJG,Heterorings,c1ccc2[nH]ccc2c1,True,True,True,True,3,4,4,-5.88,-7.88,,-6.9,ARROW-development
PAYRUJLWNCNPSJ-UHFFFAOYSA-N,Aniline,Nc1ccccc1,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,PAYRUJLWNCNPSJ,Heterorings,c1ccccc1,True,True,True,True,1,4,2,-5.54,-5.7112,,-5.48,ARROW-development
RAXXELZNTBOGNW-UHFFFAOYSA-N,Imidazole,c1c[nH]cn1,RAXXELZNTBOGNW-UHFFFAOYSA-N,RAXXELZNTBOGNW,Heterorings,c1c[nH]cn1,True,True,True,True,1,4,0,-9.6,-10.41,,-9.89,ARROW-development
KAESVJOAVNADME-UHFFFAOYSA-N,Pyrrole,c1cc[nH]c1,KAESVJOAVNADME-UHFFFAOYSA-N,KAESVJOAVNADME,Heterorings,c1cc[nH]c1,True,True,True,True,3,4,2,-4.8,-4.72,,-4.17,ARROW-development
JUJWROOIHBZHMG-UHFFFAOYSA-N,pyridine,c1ccncc1,JUJWROOIHBZHMG-UHFFFAOYSA-N,JUJWROOIHBZHMG,Heterorings,c1ccncc1,True,True,True,True,2,4,2,-4.69,-5.5293,,-4.7658,ARROW-development
